"DATE","HOUR","YEAR","SO2","NO","NO2","NOX","O3","CO","PM10","PM2.5","VV","DD","TMP","HR","PRB","MONTH"
"01-01-2011","24:00","2011",9,6,11,20,78,0.2,11,2,2.5,25,20.3,66,1021,"January"
"02-01-2011","24:00","2011",9,6,14,22,72,0.2,20,6,1.6,25,20,65,1018,"January"
"03-01-2011","24:00","2011",9,6,16,25,62,0.2,26,6,1.1,5,19.7,75,1017,"January"
"04-01-2011","24:00","2011",10,6,19,29,47,0.2,35,9,0.7,292,19.1,79,1017,"January"
"05-01-2011","24:00","2011",10,4.36969930609098,18,35,46,0.3,24.4685582822086,13,0.7,293,19.4,74,1017,"January"
"06-01-2011","24:00","2011",3.16059793024147,9,17,30,43,0.2,34,8,0.9,293,19.8,55,1016,"January"
"07-01-2011","24:00","2011",10,8,19,31,39,0.2,26,4,0.8,293,20.2,52,1019,"January"
"08-01-2011","24:00","2011",10,5,14,21,54,0.2,24,5,1.5,335,20.4,57,1022,"January"
"09-01-2011","24:00","2011",10,4,9,15,84,0.2,15,4,2.7,24,19.7,69,1025,"January"
"10-01-2011","24:00","2011",10,4,10,16,86,0.2,16,2,3,24,19.2,60,1027,"January"
"11-01-2011","24:00","2011",10,4,11,17,87,0.2,21,3,3.4,23,19.6,63,1028,"January"
"12-01-2011","24:00","2011",10,5,12,19,90,0.3,30,7,2.2,24,20.2,76,1027,"January"
"13-01-2011","24:00","2011",10,5,14,22,73,0.2,22,6,1.2,5,20.2,76,1024,"January"
"14-01-2011","24:00","2011",11,5,14,22,79,0.2,18,5,1.9,43,19.8,75,1023,"January"
"15-01-2011","24:00","2011",11,5,13,21,83,0.2,44,6,1.2,25,20.8,59,1024,"January"
"16-01-2011","24:00","2011",11,5,11,18,89,0.2,56,6,1.7,44,21.1,55,1025,"January"
"17-01-2011","24:00","2011",10,6,17,26,70,0.2,55,9,1.2,136,19.9,53,1027,"January"
"18-01-2011","24:00","2011",11,6,17,26,71,0.2,33,6,1.6,335,19.7,61,1022,"January"
"19-01-2011","24:00","2011",11,6,16,25,73,0.2,20,6,1.3,335,18.9,63,1019,"January"
"20-01-2011","24:00","2011",11,6,19,28,67,0.3,20,5,1,335,19,67,1014,"January"
"21-01-2011","24:00","2011",11,5,18,26,65,0.2,22,5,1,292,19.3,69,1008,"January"
"22-01-2011","24:00","2011",3.16059793024147,4,14,20,81,0.2,13,2,1.2,293,18.9,65,1005,"January"
"23-01-2011","24:00","2011",3.16059793024147,4,11,18,85,0.2,9,2,1.2,293,18.6,67,1003,"January"
"24-01-2011","24:00","2011",3.16059793024147,4.36969930609098,10.7337437475952,17.1933099961105,72.1123595505618,0.160153102336825,24.4685582822086,6.34712371946414,1.8,158,19.6,74,1003,"January"
"25-01-2011","24:00","2011",11,4,10,17,87,0.1,15,3,4.2,180,19.6,76,1016.13124775261,"January"
"26-01-2011","24:00","2011",3.16059793024147,5,11,17,97,0.1,19,2,3.5,292,19.2,56,1001,"January"
"27-01-2011","24:00","2011",3.16059793024147,5,14,21,85,0.2,18,3,2.4,335,19.2,68,1007,"January"
"28-01-2011","24:00","2011",3.16059793024147,5,17,25,75,0.2,18,4,1.9,158,18.6,77,1014,"January"
"29-01-2011","24:00","2011",11,5,12,19,89,0.1,13,3,2.1,25,19.4,75,1012,"January"
"30-01-2011","24:00","2011",3.16059793024147,4,12,18,88,0.1,10,2,2.8,23,18,77,1015,"January"
"31-01-2011","24:00","2011",11,5,12,19,93,0.1,18,2,3.2,6,17.5,57,1020,"January"
"01-02-2011","24:00","2011",3.16059793024147,5,11,18,97,0.1,23,3,3.7,6,17.4,55,1026,"February"
"02-02-2011","24:00","2011",3.16059793024147,5,11,18,103,0.1,25,4,4.6,23,17.8,52,1029,"February"
"03-02-2011","24:00","2011",3.16059793024147,5,11,18,107,0.1,20,4,4.1,24,17.8,54,1031,"February"
"04-02-2011","24:00","2011",3.16059793024147,5,14,22,97,0.1,23,6,2.5,24,18.7,59,1031,"February"
"05-02-2011","24:00","2011",3.16059793024147,10,18,33,86,0.1,29,6,2.7,158,18.5,49,1032,"February"
"06-02-2011","24:00","2011",3.16059793024147,8,14,27,93,0.1,29,5,2.1,24,19.6,64.4642195031517,1031,"February"
"07-02-2011","24:00","2011",3.16059793024147,5,14,21,94,0.1,16,4,1.8,25,18.9,60,1029,"February"
"08-02-2011","24:00","2011",10,5,16,24,79,0.1,11,6.34712371946414,1.2,6,18,60,1024,"February"
"09-02-2011","24:00","2011",11,5,17,25,70,0.1,17,6.34712371946414,1,292,17.5,55,1016,"February"
"10-02-2011","24:00","2011",3.16059793024147,6,16,25,71,0.1,35,5,1.6,5,19.7,50,1016,"February"
"11-02-2011","24:00","2011",10,6,13,21,80,0.1,23,3,1.4,6,20.1,61,1022,"February"
"12-02-2011","24:00","2011",10,5,8,15,90,0.1,18,3,3.1,335,18,55,1025,"February"
"13-02-2011","24:00","2011",11,5,9,16,86,0.1,15,3,2.1,335,18.2,55,1026,"February"
"14-02-2011","24:00","2011",11,5,11,18,79,0.1,9,2,2.7,335,18.6,67,1025,"February"
"15-02-2011","24:00","2011",3.16059793024147,5,11,19,69,0.1,10,2,2,334,18.9,64,1020,"February"
"16-02-2011","24:00","2011",3.16059793024147,5,10,17,73,0.1,8,2,2.6,335,19,68,1017,"February"
"17-02-2011","24:00","2011",3.16059793024147,5,10,18,80,0.1,19,3,1.8,335,18.8,62,1020,"February"
"18-02-2011","24:00","2011",3.16059793024147,5,10,18,80,0.1,16,3,1.5,335,18.5,66,1020,"February"
"19-02-2011","24:00","2011",10,5,9,17,80,0.1,8,2,1.9,6,18.4,64,1021,"February"
"20-02-2011","24:00","2011",10,5,9,16,70,0.1,6,1,3,24,19.1,72,1026,"February"
"21-02-2011","24:00","2011",11,5,12,20,82,0.1,29,4,4.3,23,19.1,72,1027,"February"
"22-02-2011","24:00","2011",11,5,10,18,85,0.1,34,7,3.1,24,19,77,1022,"February"
"23-02-2011","24:00","2011",11,6,10,19,88,0.1,30,7,2.2,24,19.1,76,1020,"February"
"24-02-2011","24:00","2011",3.16059793024147,6,11,19,87,0.1,22,4,2,24,19.1,72,1023,"February"
"25-02-2011","24:00","2011",3.16059793024147,5,11,19,91,0.1,22,4,3.6,24,19.1,67,1023,"February"
"26-02-2011","24:00","2011",3.16059793024147,5,12,20,90,0.2,29,7,2.3,6,19.7,79,1023,"February"
"27-02-2011","24:00","2011",3.16059793024147,5,8,15,99,0.1,25,7,2.6,24,19.1,78,1024,"February"
"28-02-2011","24:00","2011",3.16059793024147,5,9,17,90,0.1,29,4,4.1,24,19,69,1022,"February"
"01-03-2011","24:00","2011",3.16059793024147,5,9,17,97,0.1,43,5,3.5,6,18.7,61,1020,"March"
"02-03-2011","24:00","2011",3.16059793024147,4,8,16,103,0.1,25,4,4.3,6,17.6,54,1019,"March"
"03-03-2011","24:00","2011",6,5,11,17,101,0.1,20,3,3.4,6,17.4,51,1017,"March"
"04-03-2011","24:00","2011",6,5,14,22,97,0.1,12,2,2.1,6,17.1,52,1014,"March"
"05-03-2011","24:00","2011",6,5,12,19,92,0.1,11,2,1.3,293,17.8,54,1012,"March"
"06-03-2011","24:00","2011",6,5,12,19,85,0.1,6,1,0.9,293,17.2,67,1011,"March"
"07-03-2011","24:00","2011",7,4,17,23,72.1123595505618,0.2,8,2,1.5,293,18.2,60,1010,"March"
"08-03-2011","24:00","2011",6,3,14,19,85,0.2,14,2,1.9,293,19,58,1009,"March"
"09-03-2011","24:00","2011",7,6,10.7337437475952,35,68,0.2,13,2,2,158,17.7,72,1009,"March"
"10-03-2011","24:00","2011",8,4,10.7337437475952,31,67,0.2,8,1,2.2,180,18.4,74,1008,"March"
"11-03-2011","24:00","2011",9,4,19,25,78,0.2,9,1,1.5,293,18.3,67,1005,"March"
"12-03-2011","24:00","2011",10,3,13,18,96,0.2,14,2,2.5,293,19.5,62,1005,"March"
"13-03-2011","24:00","2011",11,3,10,15,82,0.2,7,1,1.5,226,17.7,69,999,"March"
"14-03-2011","24:00","2011",3.16059793024147,4,18,23,77,0.2,5,1,1.9,293,14.7,69,1002,"March"
"15-03-2011","24:00","2011",3.16059793024147,4,13,18,82,0.2,7,1,3,335,15.5,57,1016,"March"
"16-03-2011","24:00","2011",9,4,15,20,78,0.2,9,2,2.3,335,16.8,53,1024,"March"
"17-03-2011","24:00","2011",7,4,13,19,79,0.2,10,2,3.2,24,17.7,61,1023,"March"
"18-03-2011","24:00","2011",7,4,13,19,84,0.2,18,4,3,24,18.4,68,1020,"March"
"19-03-2011","24:00","2011",9,5,22,30,72,0.2,23,5,0.9,293,20.4,65,1015,"March"
"20-03-2011","24:00","2011",10,4,13,19,82,0.2,24.4685582822086,7,2,293,22.4,64.4642195031517,1011,"March"
"21-03-2011","24:00","2011",10,8,20,31,78,0.2,38,6,1.3,6,22.4,55,1010,"March"
"22-03-2011","24:00","2011",10,5,12,19,86,0.2,41,5,3.1,293,21.3,60,1006,"March"
"23-03-2011","24:00","2011",9,4,11,17,93,0.2,35,7,3.1,335,20.4,64,1010,"March"
"24-03-2011","24:00","2011",7,4,14,20,87,0.2,25,5,2.1,335,19.4,67,1017,"March"
"25-03-2011","24:00","2011",7,5,16,24,80,0.2,19,4,2.9,24,18.8,73,1018,"March"
"26-03-2011","24:00","2011",7,4,12,17,71,0.2,16,2,1.7,335,19.3,71,1019,"March"
"27-03-2011","24:00","2011",7,3,7,12,85,0.2,9,2,3.8,24,19.3,64,1022,"March"
"28-03-2011","24:00","2011",7,4,9,15,89,0.2,16,3,3,6,19.6,65,1024,"March"
"29-03-2011","24:00","2011",6,4,10,15,84,0.2,20,4,4.2,24,19.5,68,1024,"March"
"30-03-2011","24:00","2011",7,4,11,17,71,0.2,19,4,3.7,24,19.7,73,1020,"March"
"31-03-2011","24:00","2011",8,7,23,34,70,0.2,36,7,1.4,180,20.6,77,1015,"March"
"01-04-2011","24:00","2011",8,7,10.7337437475952,17.1933099961105,63,0.2,41,7,2.5,335,22,60,1014,"April"
