Fecha,Hora,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag
01-01-2011,24:00,9,V,6,V,20,V,0.2,V,11,V
02-01-2011,24:00,9,V,6,V,22,V,0.2,V,14,V
03-01-2011,24:00,9,V,6,V,25,V,0.2,V,16,V
04-01-2011,24:00,10,V,6,V,29,V,0.2,V,19,V
05-01-2011,24:00,10,V,11,V,35,V,0.3,V,18,V
06-01-2011,24:00,13,V,9,V,30,V,0.2,V,17,V
07-01-2011,24:00,10,V,8,V,31,V,0.2,V,19,V
08-01-2011,24:00,10,V,5,V,21,V,0.2,V,14,V
09-01-2011,24:00,10,V,4,V,15,V,0.2,V,9,V
10-01-2011,24:00,10,V,4,V,16,V,0.2,V,10,V
11-01-2011,24:00,10,V,4,V,17,V,0.2,V,11,V
12-01-2011,24:00,10,V,5,V,19,V,0.3,V,12,V
13-01-2011,24:00,10,V,5,V,22,V,0.2,V,14,V
14-01-2011,24:00,11,V,5,V,22,V,0.2,V,14,V
15-01-2011,24:00,11,V,5,V,21,V,0.2,V,13,V
16-01-2011,24:00,11,V,5,V,18,V,0.2,V,11,V
17-01-2011,24:00,10,V,6,V,26,V,0.2,V,17,V
18-01-2011,24:00,11,V,6,V,26,V,0.2,V,17,V
19-01-2011,24:00,11,V,6,V,25,V,0.2,V,16,V
20-01-2011,24:00,11,V,6,V,28,V,0.3,V,19,V
21-01-2011,24:00,11,V,5,V,26,V,0.2,V,18,V
22-01-2011,24:00,12,V,4,V,20,V,0.2,V,14,V
23-01-2011,24:00,12,V,4,V,18,V,0.2,V,11,V
24-01-2011,24:00,,M,,M,,M,,M,,M
25-01-2011,24:00,11,V,4,V,17,V,0.1,V,10,V
26-01-2011,24:00,12,V,5,V,17,V,0.1,V,11,V
27-01-2011,24:00,12,V,5,V,21,V,0.2,V,14,V
28-01-2011,24:00,12,V,5,V,25,V,0.2,V,17,V
29-01-2011,24:00,11,V,5,V,19,V,0.1,V,12,V
30-01-2011,24:00,12,V,4,V,18,V,0.1,V,12,V
31-01-2011,24:00,11,V,5,V,19,V,0.1,V,12,V
01-02-2011,24:00,12,V,5,V,18,V,0.1,V,11,V
02-02-2011,24:00,12,V,5,V,18,V,0.1,V,11,V
03-02-2011,24:00,12,V,5,V,18,V,0.1,V,11,V
04-02-2011,24:00,12,V,5,V,22,V,0.1,V,14,V
05-02-2011,24:00,22,V,10,V,33,V,0.1,V,18,V
06-02-2011,24:00,13,V,8,V,27,V,0.1,V,14,V
07-02-2011,24:00,13,V,5,V,21,V,0.1,V,14,V
08-02-2011,24:00,10,V,5,V,24,V,0.1,V,16,V
09-02-2011,24:00,11,V,5,V,25,V,0.1,V,17,V
10-02-2011,24:00,13,V,6,V,25,V,0.1,V,16,V
11-02-2011,24:00,10,V,6,V,21,V,0.1,V,13,V
12-02-2011,24:00,10,V,5,V,15,V,0.1,V,8,V
13-02-2011,24:00,11,V,5,V,16,V,0.1,V,9,V
14-02-2011,24:00,11,V,5,V,18,V,0.1,V,11,V
15-02-2011,24:00,12,V,5,V,19,V,0.1,V,11,V
16-02-2011,24:00,12,V,5,V,17,V,0.1,V,10,V
17-02-2011,24:00,16,V,5,V,18,V,0.1,V,10,V
18-02-2011,24:00,13,V,5,V,18,V,0.1,V,10,V
19-02-2011,24:00,10,V,5,V,17,V,0.1,V,9,V
20-02-2011,24:00,10,V,5,V,16,V,0.1,V,9,V
21-02-2011,24:00,11,V,5,V,20,V,0.1,V,12,V
22-02-2011,24:00,11,V,5,V,18,V,0.1,V,10,V
23-02-2011,24:00,11,V,6,V,19,V,0.1,V,10,V
24-02-2011,24:00,12,V,6,V,19,V,0.1,V,11,V
25-02-2011,24:00,12,V,5,V,19,V,0.1,V,11,V
26-02-2011,24:00,13,V,5,V,20,V,0.2,V,12,V
27-02-2011,24:00,13,V,5,V,15,V,0.1,V,8,V
28-02-2011,24:00,15,V,5,V,17,V,0.1,V,9,V
01-03-2011,24:00,12,V,5,V,17,V,0.1,V,9,V
02-03-2011,24:00,,N,4,V,16,V,0.1,V,8,V
03-03-2011,24:00,6,V,5,V,17,V,0.1,V,11,V
04-03-2011,24:00,6,V,5,V,22,V,0.1,V,14,V
05-03-2011,24:00,6,V,5,V,19,V,0.1,V,12,V
06-03-2011,24:00,6,V,5,V,19,V,0.1,V,12,V
07-03-2011,24:00,7,V,4,V,23,V,0.2,V,17,V
08-03-2011,24:00,6,V,3,V,19,V,0.2,V,14,V
09-03-2011,24:00,7,V,6,V,35,V,0.2,V,26,V
10-03-2011,24:00,8,V,4,V,31,V,0.2,V,24,V
11-03-2011,24:00,9,V,4,V,25,V,0.2,V,19,V
12-03-2011,24:00,10,V,3,V,18,V,0.2,V,13,V
13-03-2011,24:00,11,V,3,V,15,V,0.2,V,10,V
14-03-2011,24:00,13,V,4,V,23,V,0.2,V,18,V
15-03-2011,24:00,12,V,4,V,18,V,0.2,V,13,V
16-03-2011,24:00,9,V,4,V,20,V,0.2,V,15,V
17-03-2011,24:00,7,V,4,V,19,V,0.2,V,13,V
18-03-2011,24:00,7,V,4,V,19,V,0.2,V,13,V
19-03-2011,24:00,9,V,5,V,30,V,0.2,V,22,V
20-03-2011,24:00,10,V,4,V,19,V,0.2,V,13,V
21-03-2011,24:00,10,V,8,V,31,V,0.2,V,20,V
22-03-2011,24:00,10,V,5,V,19,V,0.2,V,12,V
23-03-2011,24:00,9,V,4,V,17,V,0.2,V,11,V
24-03-2011,24:00,7,V,4,V,20,V,0.2,V,14,V
25-03-2011,24:00,7,V,5,V,24,V,0.2,V,16,V
26-03-2011,24:00,7,V,4,V,17,V,0.2,V,12,V
27-03-2011,24:00,7,V,3,V,12,V,0.2,V,7,V
28-03-2011,24:00,7,V,4,V,15,V,0.2,V,9,V
29-03-2011,24:00,6,V,4,V,15,V,0.2,V,10,V
30-03-2011,24:00,7,V,4,V,17,V,0.2,V,11,V
31-03-2011,24:00,8,V,7,V,34,V,0.2,V,23,V
01-04-2011,24:00,8,V,7,V,41,V,0.2,V,31,V
02-04-2011,24:00,7,V,4,V,15,V,0.2,V,9,V
03-04-2011,24:00,7,V,4,V,13,V,0.2,V,7,V
04-04-2011,24:00,8,V,4,V,16,V,0.2,V,10,V
05-04-2011,24:00,7,V,4,V,18,V,0.2,V,12,V
06-04-2011,24:00,8,V,4,V,21,V,0.2,V,14,V
07-04-2011,24:00,9,V,16,V,57,V,0.2,V,32,V
08-04-2011,24:00,9,V,5,V,21,V,0.2,V,14,V
09-04-2011,24:00,9,V,4,V,16,V,0.2,V,11,V
10-04-2011,24:00,9,V,4,V,14,V,0.2,V,9,V
11-04-2011,24:00,11,V,4,V,15,V,0.1,V,9,V
12-04-2011,24:00,11,V,4,V,17,V,0.2,V,11,V
13-04-2011,24:00,12,V,7,V,26,V,0.2,V,15,V
14-04-2011,24:00,7,V,5,V,21,V,0.2,V,15,V
15-04-2011,24:00,5,V,4,V,22,V,0.2,V,17,V
16-04-2011,24:00,15,V,9,V,32,V,0.2,V,18,V
17-04-2011,24:00,4,V,3,V,14,V,0.2,V,10,V
18-04-2011,24:00,4,V,3,V,15,V,0.2,V,10,V
19-04-2011,24:00,5,V,6,V,28,V,0.2,V,19,V
20-04-2011,24:00,5,V,4,V,18,V,0.2,V,13,V
21-04-2011,24:00,5,V,3,V,13,V,0.1,V,9,V
22-04-2011,24:00,5,V,3,V,11,V,0.1,V,7,V
23-04-2011,24:00,6,V,3,V,11,V,0.1,V,7,V
24-04-2011,24:00,6,V,3,V,11,V,0.1,V,7,V
25-04-2011,24:00,6,V,4,V,17,V,0.1,V,12,V
26-04-2011,24:00,7,V,7,V,30,V,0.1,V,19,V
27-04-2011,24:00,7,V,3,V,19,V,0.1,V,14,V
28-04-2011,24:00,8,V,4,V,22,V,0.1,V,16,V
29-04-2011,24:00,8,V,3,V,19,V,0.2,V,14,V
30-04-2011,24:00,8,V,3,V,15,V,0.1,V,11,V
01-05-2011,24:00,8,V,2,V,11,V,0.1,V,8,V
02-05-2011,24:00,7,V,3,V,19,V,0.2,V,14,V
03-05-2011,24:00,8,V,5,V,25,V,0.1,V,18,V
04-05-2011,24:00,7,V,5,V,24,V,0.1,V,17,V
05-05-2011,24:00,7,V,4,V,19,V,0.1,V,13,V
06-05-2011,24:00,7,V,4,V,19,V,0.1,V,13,V
07-05-2011,24:00,7,V,4,V,16,V,0.1,V,9,V
08-05-2011,24:00,7,V,3,V,12,V,0.1,V,8,V
09-05-2011,24:00,7,V,3,V,15,V,0.1,V,10,V
10-05-2011,24:00,8,V,14,V,36,V,0.2,V,15,V
11-05-2011,24:00,8,V,4,V,19,V,0.2,V,13,V
12-05-2011,24:00,8,V,5,V,22,V,0.2,V,14,V
13-05-2011,24:00,8,V,5,V,23,V,0.2,V,16,V
14-05-2011,24:00,8,V,6,V,22,V,0.2,V,14,V
15-05-2011,24:00,8,V,4,V,16,V,0.1,V,10,V
16-05-2011,24:00,6,V,4,V,17,V,0.1,V,12,V
17-05-2011,24:00,4,V,4,V,18,V,0.1,V,12,V
18-05-2011,24:00,4,V,5,V,19,V,0.1,V,11,V
19-05-2011,24:00,4,V,4,V,16,V,0.1,V,10,V
20-05-2011,24:00,5,V,4,V,16,V,0.1,V,10,V
21-05-2011,24:00,4,V,3,V,14,V,0.1,V,8,V
22-05-2011,24:00,5,V,3,V,12,V,0.1,V,8,V
23-05-2011,24:00,,N,,N,,N,0.1,V,,N
24-05-2011,24:00,8,V,15,V,40,V,0.1,V,17,V
25-05-2011,24:00,7,V,15,V,40,V,0.1,V,17,V
26-05-2011,24:00,4,V,9,V,30,V,0.1,V,17,V
27-05-2011,24:00,3,V,9,V,31,V,0.1,V,17,V
28-05-2011,24:00,1,V,3,V,14,V,0.1,V,10,V
29-05-2011,24:00,1,V,4,V,15,V,0.1,V,10,V
30-05-2011,24:00,1,V,2,V,10,V,0.1,V,6,V
31-05-2011,24:00,1,V,3,V,13,V,0.1,V,9,V
01-06-2011,24:00,1,V,3,V,13,V,0.1,V,8,V
02-06-2011,24:00,1,V,3,V,14,V,0.1,V,9,V
03-06-2011,24:00,1,V,3,V,14,V,0.1,V,9,V
04-06-2011,24:00,2,V,2,V,11,V,0.1,V,8,V
05-06-2011,24:00,3,V,2,V,10,V,0.1,V,6,V
06-06-2011,24:00,4,V,3,V,15,V,0.1,V,10,V
07-06-2011,24:00,4,V,3,V,13,V,0.1,V,8,V
08-06-2011,24:00,1,V,4,V,15,V,0.1,V,10,V
09-06-2011,24:00,2,V,4,V,15,V,0.1,V,9,V
10-06-2011,24:00,2,V,4,V,16,V,0.1,V,9,V
11-06-2011,24:00,2,V,3,V,13,V,0.1,V,8,V
12-06-2011,24:00,3,V,3,V,11,V,0.1,V,6,V
13-06-2011,24:00,4,V,4,V,18,V,0.1,V,12,V
14-06-2011,24:00,5,V,4,V,20,V,0.1,V,14,V
15-06-2011,24:00,5,V,5,V,18,V,0.1,V,11,V
16-06-2011,24:00,5,V,4,V,14,V,0.1,V,8,V
17-06-2011,24:00,6,V,4,V,14,V,0.1,V,8,V
18-06-2011,24:00,6,V,4,V,18,V,0.1,V,12,V
19-06-2011,24:00,8,V,5,V,20,V,0.1,V,13,V
20-06-2011,24:00,9,V,6,V,32,V,0.2,V,23,V
21-06-2011,24:00,7,V,5,V,22,V,0.1,V,15,V
22-06-2011,24:00,4,V,5,V,22,V,0.1,V,14,V
23-06-2011,24:00,3,V,4,V,21,V,0.1,V,16,V
24-06-2011,24:00,7,V,3,V,17,V,0.1,V,13,V
25-06-2011,24:00,9,V,3,V,12,V,0.1,V,9,V
26-06-2011,24:00,8,V,3,V,14,V,0.1,V,10,V
27-06-2011,24:00,9,V,3,V,16,V,0.1,V,12,V
28-06-2011,24:00,9,V,3,V,17,V,0.1,V,12,V
29-06-2011,24:00,8,V,3,V,14,V,0.1,V,10,V
30-06-2011,24:00,8,V,4,V,18,V,0.1,V,12,V
01-07-2011,24:00,10,V,11,V,42,V,0.1,V,25,V
02-07-2011,24:00,9,V,4,V,17,V,0.1,V,11,V
03-07-2011,24:00,10,V,3,V,11,V,0.1,V,6,V
04-07-2011,24:00,11,V,4,V,14,V,0.1,V,8,V
05-07-2011,24:00,,M,,M,,M,,M,,M
06-07-2011,24:00,4,V,4,V,15,V,0.2,V,9,V
07-07-2011,24:00,4,V,4,V,14,V,0.2,V,9,V
08-07-2011,24:00,4,V,4,V,14,V,0.2,V,9,V
09-07-2011,24:00,4,V,4,V,13,V,0.2,V,7,V
10-07-2011,24:00,4,V,4,V,11,V,0.2,V,6,V
11-07-2011,24:00,4,V,4,V,14,V,0.2,V,8,V
12-07-2011,24:00,4,V,5,V,14,V,0.2,V,8,V
13-07-2011,24:00,5,V,4,V,16,V,0.2,V,10,V
14-07-2011,24:00,5,V,5,V,20,V,0.2,V,13,V
15-07-2011,24:00,5,V,5,V,18,V,0.2,V,11,V
16-07-2011,24:00,5,V,4,V,16,V,0.2,V,10,V
17-07-2011,24:00,5,V,4,V,14,V,0.2,V,9,V
18-07-2011,24:00,6,V,5,V,16,V,0.2,V,9,V
19-07-2011,24:00,6,V,6,V,19,V,0.2,V,10,V
20-07-2011,24:00,6,V,5,V,19,V,0.2,V,12,V
21-07-2011,24:00,6,V,5,V,18,V,0.2,V,11,V
22-07-2011,24:00,6,V,5,V,20,V,0.2,V,12,V
23-07-2011,24:00,6,V,4,V,13,V,0.2,V,8,V
24-07-2011,24:00,7,V,4,V,16,V,0.1,V,9,V
25-07-2011,24:00,7,V,5,V,19,V,0.1,V,11,V
26-07-2011,24:00,7,V,5,V,18,V,0.1,V,11,V
27-07-2011,24:00,7,V,5,V,16,V,0.2,V,9,V
28-07-2011,24:00,8,V,4,V,16,V,0.2,V,10,V
29-07-2011,24:00,6,V,5,V,18,V,0.2,V,11,V
30-07-2011,24:00,5,V,5,V,17,V,0.2,V,10,V
31-07-2011,24:00,5,V,4,V,13,V,0.2,V,7,V
01-08-2011,24:00,6,V,5,V,15,V,0.1,V,8,V
02-08-2011,24:00,6,V,5,V,15,V,0.1,V,8,V
03-08-2011,24:00,6,V,5,V,16,V,0.1,V,8,V
04-08-2011,24:00,6,V,5,V,15,V,0.1,V,8,V
05-08-2011,24:00,6,V,5,V,15,V,0.1,V,7,V
06-08-2011,24:00,7,V,5,V,12,V,0.1,V,5,V
07-08-2011,24:00,7,V,4,V,12,V,0.2,V,6,V
08-08-2011,24:00,7,V,5,V,16,V,0.2,V,9,V
09-08-2011,24:00,6,V,4,V,15,V,0.2,V,9,V
10-08-2011,24:00,4,V,4,V,16,V,0.2,V,10,V
11-08-2011,24:00,5,V,4,V,17,V,0.2,V,11,V
12-08-2011,24:00,5,V,4,V,16,V,0.2,V,11,V
13-08-2011,24:00,6,V,3,V,14,V,0.2,V,9,V
14-08-2011,24:00,6,V,3,V,13,V,0.2,V,8,V
15-08-2011,24:00,6,V,3,V,15,V,0.2,V,10,V
16-08-2011,24:00,6,V,4,V,19,V,0.1,V,12,V
17-08-2011,24:00,7,V,4,V,15,V,0.1,V,9,V
18-08-2011,24:00,7,V,4,V,15,V,0.1,V,9,V
19-08-2011,24:00,7,V,4,V,16,V,0.2,V,10,V
20-08-2011,24:00,7,V,5,V,18,V,0.2,V,10,V
21-08-2011,24:00,7,V,3,V,13,V,0.2,V,8,V
