Fecha,Hora,Casa Palacio-Puerto del Rosario RS (W/m²),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
01-01-2012,24:00,134,V,0,V,60,V
02-01-2012,24:00,119,V,0,V,65,V
03-01-2012,24:00,147,V,0,V,71,V
04-01-2012,24:00,156,V,0,V,76,V
05-01-2012,24:00,178,V,0,V,81,V
06-01-2012,24:00,146,V,0,V,82,V
07-01-2012,24:00,107,V,0,V,73,V
08-01-2012,24:00,120,V,0,V,75,V
09-01-2012,24:00,177,V,0,V,57,V
10-01-2012,24:00,170,V,0,V,55,V
11-01-2012,24:00,152,V,0,V,49,V
12-01-2012,24:00,151,V,0,V,48,V
13-01-2012,24:00,96,V,0,V,49,V
14-01-2012,24:00,84,V,0,V,55,V
15-01-2012,24:00,112,V,0,V,62,V
16-01-2012,24:00,154,V,0,V,63,V
17-01-2012,24:00,160,V,0,V,64,V
18-01-2012,24:00,166,V,0,V,57,V
19-01-2012,24:00,164,V,0,V,56,V
20-01-2012,24:00,161,V,0,V,52,V
21-01-2012,24:00,162,V,0,V,57,V
22-01-2012,24:00,174,V,0,V,65,V
23-01-2012,24:00,93,V,0,V,62,V
24-01-2012,24:00,99,V,0,V,66,V
25-01-2012,24:00,107,V,0,V,72,V
26-01-2012,24:00,151,V,0,V,64,V
27-01-2012,24:00,185,V,0,V,65,V
28-01-2012,24:00,137,V,0,V,60,V
29-01-2012,24:00,158,V,0,V,59,V
30-01-2012,24:00,177,V,0,V,66,V
31-01-2012,24:00,189,V,0,V,69,V
01-02-2012,24:00,184,V,0,V,66,V
02-02-2012,24:00,143,V,0,V,63,V
03-02-2012,24:00,97,V,0,V,55,V
04-02-2012,24:00,146,V,0,V,51,V
05-02-2012,24:00,172,V,0,V,59,V
06-02-2012,24:00,147,V,0,V,63,V
07-02-2012,24:00,169,V,0,V,59,V
08-02-2012,24:00,97,V,0,V,56,V
09-02-2012,24:00,98,V,0,V,54,V
10-02-2012,24:00,180,V,0,V,48,V
11-02-2012,24:00,70,V,0,V,42,V
12-02-2012,24:00,112,V,0,V,47,V
13-02-2012,24:00,119,V,0,V,59,V
14-02-2012,24:00,169,V,0,V,47,V
15-02-2012,24:00,208,V,0,V,53,V
16-02-2012,24:00,210,V,0,V,63,V
17-02-2012,24:00,219,V,0,V,70,V
18-02-2012,24:00,184,V,0,V,60,V
19-02-2012,24:00,218,V,0,V,57,V
20-02-2012,24:00,175,V,0,V,68,V
21-02-2012,24:00,154,V,0,V,63,V
22-02-2012,24:00,203,V,0,V,56,V
23-02-2012,24:00,221,V,0,V,51,V
24-02-2012,24:00,233,V,0,V,52,V
25-02-2012,24:00,233,V,0,V,57,V
26-02-2012,24:00,222,V,0,V,65,V
27-02-2012,24:00,235,V,0,V,61,V
28-02-2012,24:00,235,V,0,V,58,V
29-02-2012,24:00,230,V,0,V,64,V
01-03-2012,24:00,236,V,0,V,63,V
02-03-2012,24:00,216,V,0,V,61,V
03-03-2012,24:00,220,V,0,V,64,V
04-03-2012,24:00,210,V,0,V,69,V
05-03-2012,24:00,178,V,0,V,76,V
06-03-2012,24:00,246,V,0,V,73,V
07-03-2012,24:00,207,V,0,V,67,V
08-03-2012,24:00,204,V,0,V,54,V
09-03-2012,24:00,258,V,0,V,64,V
10-03-2012,24:00,216,V,0,V,63,V
11-03-2012,24:00,248,V,0,V,71,V
12-03-2012,24:00,244,V,0,V,72,V
13-03-2012,24:00,257,V,0,V,68,V
14-03-2012,24:00,208,V,0,V,68,V
15-03-2012,24:00,242,V,0,V,71,V
