Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario PRB (mb),Flag
01-01-2012,24:00,3,V,23,V,2.6,V,17.5,V,1035,V
02-01-2012,24:00,4,V,24,V,3.5,V,18.6,V,1035,V
03-01-2012,24:00,6,V,24,V,2.5,V,19.3,V,1032,V
04-01-2012,24:00,5,V,23,V,2.7,V,19.4,V,1032,V
05-01-2012,24:00,7,V,22,V,2,V,18.9,V,1033,V
06-01-2012,24:00,7,V,22,V,1.9,V,18.5,V,1030,V
07-01-2012,24:00,4,V,21,V,1.9,V,18,V,1025,V
08-01-2012,24:00,6,V,321,V,1.2,V,18.1,V,1022,V
09-01-2012,24:00,9,V,158,V,2.3,V,19.1,V,1022,V
10-01-2012,24:00,7,V,158,V,2.5,V,19.2,V,1023,V
11-01-2012,24:00,13,V,39,V,2.1,V,20,V,1024,V
12-01-2012,24:00,12,V,23,V,2.2,V,19.8,V,1025,V
13-01-2012,24:00,14,V,23,V,1.5,V,19.5,V,1024,V
14-01-2012,24:00,10,V,37,V,0.9,V,19.8,V,1022,V
15-01-2012,24:00,11,V,336,V,1.3,V,20.1,V,1020,V
16-01-2012,24:00,3,V,335,V,2.8,V,18.5,V,1024,V
17-01-2012,24:00,3,V,21,V,4.2,V,18.5,V,1023,V
18-01-2012,24:00,7,V,24,V,4,V,18.8,V,1026,V
19-01-2012,24:00,9,V,22,V,1.4,V,18.1,V,1032,V
20-01-2012,24:00,12,V,292,V,1,V,17.5,V,1033,V
21-01-2012,24:00,3,V,6,V,2.3,V,17.2,V,1029,V
22-01-2012,24:00,3,V,336,V,1.9,V,18,V,1025,V
23-01-2012,24:00,3,V,334,V,1.3,V,17.3,V,1025,V
24-01-2012,24:00,2,V,314,V,0.9,V,17.4,V,1024,V
25-01-2012,24:00,2,V,288,V,1,V,17,V,1023,V
26-01-2012,24:00,3,V,335,V,2.3,V,18,V,1022,V
27-01-2012,24:00,2,V,335,V,1.9,V,17.8,V,1022,V
28-01-2012,24:00,2,V,23,V,3.3,V,17.3,V,1022,V
29-01-2012,24:00,3,V,23,V,2.8,V,18,V,1020,V
30-01-2012,24:00,4,V,24,V,2.8,V,18.4,V,1019,V
31-01-2012,24:00,4,V,334,V,1.7,V,17.5,V,1020,V
01-02-2012,24:00,6,V,334,V,2.1,V,17.7,V,1021,V
02-02-2012,24:00,2,V,334,V,2.2,V,17.5,V,1022,V
03-02-2012,24:00,3,V,22,V,4.3,V,17.6,V,1024,V
04-02-2012,24:00,6,V,23,V,5.4,V,16.1,V,1029,V
05-02-2012,24:00,7,V,24,V,5,V,16.1,V,1035,V
06-02-2012,24:00,6,V,23,V,3.8,V,17,V,1035,V
07-02-2012,24:00,4,V,22,V,4.3,V,18,V,1029,V
08-02-2012,24:00,4,V,336,V,3.3,V,17.3,V,1024,V
09-02-2012,24:00,4,V,22,V,4.6,V,16.5,V,1024,V
10-02-2012,24:00,3,V,23,V,4,V,16.4,V,1025,V
11-02-2012,24:00,4,V,335,V,2.2,V,16.1,V,1025,V
12-02-2012,24:00,3,V,335,V,1.3,V,16,V,1020,V
13-02-2012,24:00,3,V,335,V,1.9,V,15.7,V,1022,V
14-02-2012,24:00,4,V,23,V,4.3,V,16.1,V,1025,V
15-02-2012,24:00,2,V,24,V,2.9,V,16.4,V,1021,V
16-02-2012,24:00,3,V,336,V,1.4,V,16.8,V,1019,V
17-02-2012,24:00,6,V,336,V,1.8,V,17.1,V,1019,V
18-02-2012,24:00,2,V,335,V,2.2,V,16.7,V,1022,V
19-02-2012,24:00,3,V,336,V,2.2,V,16.7,V,1023,V
20-02-2012,24:00,5,V,23,V,3.8,V,17,V,1025,V
21-02-2012,24:00,4,V,22,V,3.2,V,17.1,V,1030,V
22-02-2012,24:00,4,V,22,V,3.2,V,17.2,V,1027,V
23-02-2012,24:00,4,V,22,V,2.6,V,17.6,V,1023,V
24-02-2012,24:00,4,V,336,V,1.8,V,17.2,V,1024,V
