Fecha,Hora,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
01-01-2012,24:00,0.1,V,0.3,V,2,V,0.6,V,8,V
02-01-2012,24:00,0.1,V,0.3,V,1.4,V,0.5,V,13,V
03-01-2012,24:00,0.1,V,0.4,V,3,V,1.9,V,24,V
04-01-2012,24:00,0.1,V,0.4,V,2.7,V,1,V,22,V
05-01-2012,24:00,0.1,V,0.4,V,3.9,V,0.7,V,21,V
06-01-2012,24:00,0.1,V,0.5,V,1.7,V,0.5,V,18,V
07-01-2012,24:00,,N,0.4,V,2,V,0.6,V,17,V
08-01-2012,24:00,,N,0.5,V,2.8,V,1,V,21,V
09-01-2012,24:00,,N,0.7,V,4.7,V,2.5,V,60,V
10-01-2012,24:00,0.2,V,0.4,V,2.9,V,1.6,V,47,V
11-01-2012,24:00,0.2,V,0.3,V,1.7,V,1.2,V,144,V
12-01-2012,24:00,0.2,V,0.3,V,1.7,V,1.1,V,103,V
13-01-2012,24:00,0.2,V,0.3,V,2.1,V,1.4,V,110,V
14-01-2012,24:00,0.2,V,0.4,V,1.7,V,0.9,V,63,V
15-01-2012,24:00,0.3,V,0.6,V,3.9,V,1.8,V,56,V
16-01-2012,24:00,0.2,V,0.3,V,1.8,V,0.8,V,22,V
17-01-2012,24:00,0.2,V,0.3,V,1.4,V,0.7,V,18,V
18-01-2012,24:00,0.2,V,0.4,V,2,V,0.9,V,48,V
19-01-2012,24:00,0.2,V,0.5,V,3.6,V,1.6,V,50,V
20-01-2012,24:00,0.2,V,0.6,V,4.9,V,1.6,V,75,V
21-01-2012,24:00,0.2,V,0.3,V,2.1,V,1,V,15,V
22-01-2012,24:00,0.2,V,0.3,V,1.9,V,0.8,V,12,V
23-01-2012,24:00,0.2,V,0.4,V,3.1,V,1.4,V,14,V
24-01-2012,24:00,0.2,V,0.5,V,4.8,V,1.7,V,6,V
25-01-2012,24:00,0.2,V,0.4,V,4.3,V,1.7,V,6,V
26-01-2012,24:00,0.2,V,0.3,V,2.3,V,1,V,11,V
27-01-2012,24:00,0.2,V,0.3,V,2.9,V,1.1,V,10,V
28-01-2012,24:00,0.2,V,0.3,V,2.2,V,0.9,V,11,V
29-01-2012,24:00,0.2,V,0.3,V,1.9,V,0.7,V,18,V
30-01-2012,24:00,0.2,V,0.4,V,1.9,V,0.7,V,23,V
31-01-2012,24:00,0.2,V,0.5,V,2.9,V,1,V,21,V
01-02-2012,24:00,0.2,V,1.7,V,3.5,V,1.2,V,25,V
02-02-2012,24:00,0.2,V,0.4,V,3.2,V,1.1,V,9,V
03-02-2012,24:00,0.2,V,0.4,V,2.2,V,0.8,V,21,V
04-02-2012,24:00,0.2,V,0.4,V,1.6,V,0.5,V,40,V
05-02-2012,24:00,0.2,V,0.4,V,1.8,V,0.6,V,34,V
06-02-2012,24:00,0.2,V,0.4,V,2.4,V,0.8,V,27,V
07-02-2012,24:00,0.2,V,0.3,V,2.1,V,0.7,V,22,V
08-02-2012,24:00,0.2,V,0.3,V,2,V,0.7,V,20,V
09-02-2012,24:00,0.2,V,0.4,V,2.1,V,0.7,V,23,V
10-02-2012,24:00,0.2,V,0.4,V,2.1,V,0.7,V,17,V
11-02-2012,24:00,0.2,V,0.5,V,2.4,V,0.7,V,13,V
12-02-2012,24:00,0.2,V,0.5,V,3.3,V,1,V,9,V
13-02-2012,24:00,0.2,V,0.4,V,2.9,V,0.9,V,12,V
14-02-2012,24:00,0.2,V,0.3,V,2.3,V,0.6,V,20,V
15-02-2012,24:00,0.2,V,0.2,V,3,V,0.2,V,13,V
16-02-2012,24:00,0.2,V,0.3,V,3,V,0.4,V,13,V
