Fecha,Hora,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag
01-01-2012,24:00,1,V,14,V,4,V,20,V,89,V
02-01-2012,24:00,1,V,10,V,4,V,15,V,87,V
03-01-2012,24:00,1,V,16,V,6,V,25,V,76,V
04-01-2012,24:00,1,V,18,V,5,V,26,V,83,V
05-01-2012,24:00,1,V,18,V,5,V,26,V,85,V
06-01-2012,24:00,1,V,14,V,4,V,21,V,90,V
07-01-2012,24:00,1,V,18,V,4,V,24,V,83,V
08-01-2012,24:00,1,V,24,V,5,V,31,V,71,V
09-01-2012,24:00,1,V,41,V,19,V,69,V,54,V
10-01-2012,24:00,4,V,27,V,9,V,40,V,64,V
11-01-2012,24:00,7,V,28,V,23,V,64,V,69,V
12-01-2012,24:00,6,V,22,V,10,V,37,V,79,V
13-01-2012,24:00,7,V,35,V,18,V,63,V,69,V
14-01-2012,24:00,2,V,17,V,4,V,23,V,77,V
15-01-2012,24:00,3,V,36,V,13,V,56,V,54,V
16-01-2012,24:00,1,V,14,V,5,V,21,V,81,V
17-01-2012,24:00,1,V,11,V,4,V,18,V,84,V
18-01-2012,24:00,3,V,23,V,16,V,47,V,75,V
19-01-2012,24:00,17,V,44,V,23,V,79,V,60,V
20-01-2012,24:00,3,V,30,V,10,V,45,V,71,V
21-01-2012,24:00,2,V,15,V,4,V,21,V,89,V
22-01-2012,24:00,2,V,19,V,8,V,31,V,79,V
23-01-2012,24:00,2,V,26,V,5,V,35,V,77,V
24-01-2012,24:00,2,V,26,V,6,V,35,V,65,V
25-01-2012,24:00,1,V,26,V,7,V,36,V,62,V
26-01-2012,24:00,1,V,17,V,6,V,26,V,72,V
27-01-2012,24:00,1,V,15,V,5,V,23,V,75,V
28-01-2012,24:00,2,V,13,V,4,V,19,V,82,V
29-01-2012,24:00,3,V,13,V,5,V,20,V,89,V
30-01-2012,24:00,4,V,20,V,10,V,36,V,91,V
31-01-2012,24:00,3,V,24,V,5,V,32,V,89,V
01-02-2012,24:00,4,V,19,V,5,V,27,V,90,V
02-02-2012,24:00,5,V,18,V,5,V,26,V,86,V
03-02-2012,24:00,4,V,13,V,5,V,20,V,91,V
04-02-2012,24:00,3,V,12,V,4,V,18,V,102,V
05-02-2012,24:00,4,V,12,V,6,V,20,V,102,V
06-02-2012,24:00,3,V,15,V,5,V,22,V,92,V
07-02-2012,24:00,4,V,13,V,5,V,20,V,83,V
08-02-2012,24:00,4,V,13,V,5,V,20,V,86,V
09-02-2012,24:00,3,V,13,V,5,V,21,V,93,V
10-02-2012,24:00,4,V,15,V,4,V,21,V,103,V
11-02-2012,24:00,4,V,23,V,5,V,29,V,99,V
12-02-2012,24:00,4,V,17,V,3,V,23,V,96,V
13-02-2012,24:00,4,V,16,V,5,V,22,V,96,V
14-02-2012,24:00,3,V,13,V,4,V,19,V,104,V
15-02-2012,24:00,3,V,19,V,6,V,27,V,89,V
16-02-2012,24:00,4,V,25,V,6,V,34,V,83,V
17-02-2012,24:00,4,V,24,V,5,V,31,V,87,V
18-02-2012,24:00,4,V,23,V,6,V,32,V,89,V
19-02-2012,24:00,5,V,18,V,4,V,25,V,93,V
20-02-2012,24:00,6,V,16,V,4,V,22,V,99,V
21-02-2012,24:00,5,V,13,V,4,V,19,V,90,V
22-02-2012,24:00,6,V,13,V,4,V,19,V,99,V
23-02-2012,24:00,6,V,20,V,5,V,28,V,99,V
24-02-2012,24:00,6,V,22,V,6,V,31,V,99,V
25-02-2012,24:00,6,V,30,V,9,V,44,V,84,V
26-02-2012,24:00,6,V,29,V,9,V,43,V,80,V
27-02-2012,24:00,5,V,23,V,5,V,30,V,81,V
28-02-2012,24:00,5,V,22,V,6,V,30,V,87,V
29-02-2012,24:00,5,V,13,V,4,V,19,V,95,V
01-03-2012,24:00,5,V,18,V,10,V,33,V,87,V
02-03-2012,24:00,4,V,13,V,4,V,19,V,93,V
03-03-2012,24:00,3,V,9,V,4,V,14,V,99,V
04-03-2012,24:00,3,V,10,V,4,V,15,V,101,V
05-03-2012,24:00,3,V,17,V,5,V,24,V,86,V
06-03-2012,24:00,3,V,14,V,5,V,21,V,92,V
07-03-2012,24:00,3,V,11,V,5,V,18,V,86,V
08-03-2012,24:00,6,V,27,V,13,V,45,V,86,V
09-03-2012,24:00,3,V,26,V,4,V,32,V,,N
10-03-2012,24:00,4,V,25,V,8,V,37,V,91,V
11-03-2012,24:00,4,V,24,V,5,V,32,V,87,V
12-03-2012,24:00,4,V,26,V,7,V,37,V,84,V
13-03-2012,24:00,5,V,24,V,7,V,34,V,90,V
