Fecha,Hora,Casa Palacio-Puerto del Rosario PRB (mb),Flag,Casa Palacio-Puerto del Rosario RS (W/m²),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag
01-01-2013,24:00,1027,V,104,V,18.7,V
02-01-2013,24:00,1025,V,156,V,18.9,V
03-01-2013,24:00,1027,V,148,V,18.8,V
04-01-2013,24:00,1032,V,143,V,19.4,V
05-01-2013,24:00,1036,V,169,V,19.1,V
06-01-2013,24:00,1033,V,169,V,19.7,V
07-01-2013,24:00,1030,V,170,V,19,V
08-01-2013,24:00,1030,V,154,V,18.2,V
09-01-2013,24:00,1028,V,140,V,18.5,V
10-01-2013,24:00,1026,V,169,V,18.5,V
11-01-2013,24:00,1024,V,171,V,18.5,V
12-01-2013,24:00,1024,V,156,V,18.2,V
13-01-2013,24:00,1025,V,167,V,18.5,V
14-01-2013,24:00,1025,V,150,V,18.4,V
15-01-2013,24:00,1027,V,149,V,18.1,V
16-01-2013,24:00,1029,V,155,V,18.5,V
17-01-2013,24:00,1029,V,160,V,17.7,V
18-01-2013,24:00,1023,V,159,V,18.8,V
19-01-2013,24:00,1017,V,118,V,19.4,V
20-01-2013,24:00,1019,V,103,V,18.5,V
21-01-2013,24:00,1019,V,96,V,19.7,V
22-01-2013,24:00,1023,V,80,V,17.9,V
23-01-2013,24:00,1027,V,151,V,18.3,V
24-01-2013,24:00,1029,V,165,V,18.1,V
25-01-2013,24:00,1030,V,127,V,19,V
26-01-2013,24:00,1027,V,96,V,19.4,V
27-01-2013,24:00,1028,V,170,V,19,V
28-01-2013,24:00,1029,V,145,V,18.5,V
29-01-2013,24:00,1029,V,181,V,19.9,V
30-01-2013,24:00,1032,V,199,V,20.3,V
31-01-2013,24:00,1031,V,201,V,20.1,V
01-02-2013,24:00,1029,V,200,V,19.3,V
02-02-2013,24:00,1026,V,201,V,18.3,V
03-02-2013,24:00,1021,V,81,V,17.9,V
04-02-2013,24:00,1022,V,165,V,19.3,V
05-02-2013,24:00,1029,V,191,V,19.1,V
06-02-2013,24:00,1027,V,89,V,17.8,V
07-02-2013,24:00,1022,V,88,V,17.6,V
08-02-2013,24:00,1019,V,39,V,17.1,V
09-02-2013,24:00,1020,V,197,V,17.5,V
10-02-2013,24:00,1022,V,199,V,18,V
11-02-2013,24:00,1026,V,170,V,17.8,V
12-02-2013,24:00,1024,V,191,V,18,V
13-02-2013,24:00,1019,V,125,V,18,V
14-02-2013,24:00,1017,V,193,V,18.7,V
15-02-2013,24:00,1016,V,225,V,20,V
16-02-2013,24:00,,N,,N,,N
17-02-2013,24:00,,N,,N,,N
18-02-2013,24:00,,N,,N,,N
19-02-2013,24:00,1014,V,204,V,17.7,V
20-02-2013,24:00,1018,V,162,V,18.5,V
21-02-2013,24:00,1021,V,151,V,18.7,V
22-02-2013,24:00,1020,V,174,V,19.2,V
23-02-2013,24:00,1022,V,210,V,18.5,V
24-02-2013,24:00,1020,V,214,V,18.1,V
25-02-2013,24:00,1014,V,237,V,18.2,V
26-02-2013,24:00,1008,V,214,V,19,V
27-02-2013,24:00,1011,V,199,V,18.7,V
28-02-2013,24:00,1015,V,169,V,17.8,V
01-03-2013,24:00,1013,V,135,V,17.9,V
02-03-2013,24:00,1007,V,129,V,18.7,V
03-03-2013,24:00,1000,V,205,V,19.1,V
04-03-2013,24:00,986,V,146,V,19.5,V
05-03-2013,24:00,997,V,221,V,20.7,V
06-03-2013,24:00,1010,V,210,V,21.5,V
07-03-2013,24:00,1015,V,263,V,22.3,V
08-03-2013,24:00,1016,V,159,V,20,V
09-03-2013,24:00,1017,V,225,V,21.4,V
10-03-2013,24:00,1020,V,199,V,19.6,V
11-03-2013,24:00,1020,V,256,V,19.1,V
12-03-2013,24:00,,N,,N,,N
13-03-2013,24:00,1014,V,230,V,20.3,V
14-03-2013,24:00,1014,V,178,V,19,V
15-03-2013,24:00,1010,V,223,V,19.4,V
16-03-2013,24:00,1003,V,239,V,22.3,V
17-03-2013,24:00,1004,V,266,V,22.5,V
18-03-2013,24:00,1008,V,172,V,21.3,V
19-03-2013,24:00,1010,V,222,V,21.2,V
20-03-2013,24:00,1016,V,264,V,20.7,V
21-03-2013,24:00,1014,V,279,V,20.6,V
22-03-2013,24:00,1014,V,206,V,19.8,V
23-03-2013,24:00,1012,V,253,V,19.5,V
24-03-2013,24:00,1017,V,226,V,18.7,V
25-03-2013,24:00,1018,V,289,V,18.8,V
26-03-2013,24:00,1016,V,281,V,20.1,V
27-03-2013,24:00,1012,V,248,V,21.4,V
28-03-2013,24:00,1018,V,277,V,20.7,V
29-03-2013,24:00,1022,V,293,V,20.9,V
30-03-2013,24:00,1022,V,285,V,20.2,V
31-03-2013,24:00,1016,V,257,V,21,V
01-04-2013,24:00,1015,V,189,V,21.1,V
02-04-2013,24:00,1012,V,266,V,21.1,V
03-04-2013,24:00,1009,V,234,V,20.6,V
04-04-2013,24:00,1012,V,221,V,19.7,V
05-04-2013,24:00,1021,V,285,V,19.9,V
06-04-2013,24:00,1023,V,225,V,18.5,V
07-04-2013,24:00,1017,V,122,V,18.4,V
08-04-2013,24:00,1015,V,77,V,17.8,V
09-04-2013,24:00,1020,V,248,V,18.9,V
10-04-2013,24:00,1021,V,299,V,19.9,V
11-04-2013,24:00,1020,V,291,V,19.8,V
12-04-2013,24:00,1017,V,292,V,19.9,V
13-04-2013,24:00,1016,V,315,V,19.5,V
14-04-2013,24:00,1019,V,311,V,19,V
15-04-2013,24:00,1020,V,308,V,19.6,V
16-04-2013,24:00,1016,V,146,V,19.6,V
17-04-2013,24:00,1014,V,159,V,20.5,V
18-04-2013,24:00,1012,V,258,V,20.9,V
19-04-2013,24:00,1008,V,259,V,22,V
20-04-2013,24:00,1008,V,273,V,25.3,V
21-04-2013,24:00,1010,V,289,V,26.9,V
22-04-2013,24:00,1012,V,306,V,26,V
23-04-2013,24:00,1009,V,313,V,21.2,V
24-04-2013,24:00,1009,V,317,V,21.8,V
25-04-2013,24:00,1013,V,312,V,23.5,V
26-04-2013,24:00,1016,V,316,V,21.5,V
27-04-2013,24:00,1012,V,291,V,20.8,V
28-04-2013,24:00,1011,V,123,V,19.3,V
29-04-2013,24:00,1013,V,155,V,18.6,V
30-04-2013,24:00,1014,V,183,V,19,V
01-05-2013,24:00,1017,V,282,V,19.2,V
02-05-2013,24:00,1019,V,176,V,,N
03-05-2013,24:00,1017,V,193,V,,N
04-05-2013,24:00,1018,V,236,V,,N
05-05-2013,24:00,1019,V,319,V,,N
06-05-2013,24:00,1017,V,317,V,,N
07-05-2013,24:00,1015,V,307,V,,N
08-05-2013,24:00,1015,V,325,V,,N
09-05-2013,24:00,1015,V,320,V,,N
10-05-2013,24:00,1015,V,337,V,,M
11-05-2013,24:00,1014,V,324,V,,M
12-05-2013,24:00,1014,V,299,V,,M
13-05-2013,24:00,1015,V,297,V,,M
14-05-2013,24:00,1016,V,266,V,,M
15-05-2013,24:00,1013,V,216,V,,M
16-05-2013,24:00,1012,V,171,V,,M
17-05-2013,24:00,1014,V,201,V,,M
18-05-2013,24:00,1021,V,278,V,,M
19-05-2013,24:00,1023,V,280,V,,M
20-05-2013,24:00,1021,V,297,V,,M
21-05-2013,24:00,1020,V,330,V,,M
22-05-2013,24:00,1020,V,323,V,,M
23-05-2013,24:00,1020,V,329,V,,M
24-05-2013,24:00,1021,V,348,V,,M
25-05-2013,24:00,1021,V,232,V,,M
26-05-2013,24:00,1019,V,206,V,,M
27-05-2013,24:00,1018,V,218,V,,M
28-05-2013,24:00,1019,V,276,V,,M
29-05-2013,24:00,1021,V,209,V,,M
30-05-2013,24:00,1022,V,210,V,,M
31-05-2013,24:00,1020,V,225,V,,M
01-06-2013,24:00,1016,V,318,V,,M
02-06-2013,24:00,1013,V,328,V,,M
03-06-2013,24:00,1015,V,331,V,,M
04-06-2013,24:00,1014,V,336,V,,M
05-06-2013,24:00,1016,V,213,V,,M
06-06-2013,24:00,1021,V,295,V,,M
07-06-2013,24:00,1023,V,294,V,,M
08-06-2013,24:00,1022,V,289,V,,M
09-06-2013,24:00,1021,V,312,V,,M
10-06-2013,24:00,1021,V,307,V,,M
11-06-2013,24:00,1023,V,315,V,,M
12-06-2013,24:00,1022,V,328,V,,M
13-06-2013,24:00,1019,V,198,V,,M
14-06-2013,24:00,1016,V,298,V,,M
15-06-2013,24:00,1015,V,329,V,,M
16-06-2013,24:00,1015,V,331,V,,M
17-06-2013,24:00,1017,V,321,V,,M
18-06-2013,24:00,1018,V,119,V,,M
19-06-2013,24:00,1018,V,302,V,,M
20-06-2013,24:00,1017,V,331,V,,M
21-06-2013,24:00,1017,V,331,V,,M
22-06-2013,24:00,1016,V,310,V,,M
23-06-2013,24:00,1013,V,339,V,,M
24-06-2013,24:00,1012,V,339,V,,M
25-06-2013,24:00,,N,,N,,N
26-06-2013,24:00,,N,,N,,N
27-06-2013,24:00,1011,V,297,V,,M
28-06-2013,24:00,1011,V,325,V,24.4,V
29-06-2013,24:00,1011,V,337,V,24.7,V
30-06-2013,24:00,1014,V,332,V,24,V
01-07-2013,24:00,1014,V,313,V,22.4,V
02-07-2013,24:00,1015,V,315,V,21.4,V
03-07-2013,24:00,1016,V,304,V,21.2,V
04-07-2013,24:00,1014,V,316,V,22.4,V
05-07-2013,24:00,1013,V,295,V,22.5,V
06-07-2013,24:00,1013,V,333,V,22.7,V
07-07-2013,24:00,1012,V,304,V,22.6,V
08-07-2013,24:00,1011,V,273,V,23.4,V
09-07-2013,24:00,1008,V,289,V,27.5,V
10-07-2013,24:00,1009,V,318,V,24,V
11-07-2013,24:00,1007,V,331,V,24.2,V
12-07-2013,24:00,1011,V,301,V,24.6,V
13-07-2013,24:00,1015,V,310,V,27.1,V
14-07-2013,24:00,1017,V,319,V,23,V
15-07-2013,24:00,1016,V,317,V,23,V
16-07-2013,24:00,1015,V,320,V,26.2,V
17-07-2013,24:00,1017,V,319,V,27.7,V
18-07-2013,24:00,1017,V,321,V,24.4,V
19-07-2013,24:00,1016,V,302,V,22.8,V
20-07-2013,24:00,1015,V,298,V,22.9,V
21-07-2013,24:00,1015,V,257,V,22.7,V
22-07-2013,24:00,1016,V,260,V,22.7,V
23-07-2013,24:00,1015,V,291,V,22.8,V
24-07-2013,24:00,1017,V,311,V,23.4,V
25-07-2013,24:00,1017,V,305,V,22.9,V
26-07-2013,24:00,1014,V,234,V,23.3,V
27-07-2013,24:00,1013,V,303,V,23.3,V
28-07-2013,24:00,1016,V,306,V,23.6,V
29-07-2013,24:00,1018,V,314,V,24.9,V
30-07-2013,24:00,1015,V,323,V,25.4,V
31-07-2013,24:00,1011,V,261,V,25.4,V
01-08-2013,24:00,1010,V,282,V,25.2,V
02-08-2013,24:00,1012,V,285,V,24.5,V
03-08-2013,24:00,1015,V,257,V,24.4,V
04-08-2013,24:00,1015,V,301,V,24.8,V
05-08-2013,24:00,1012,V,302,V,26,V
06-08-2013,24:00,1011,V,301,V,25.8,V
07-08-2013,24:00,1011,V,293,V,24.3,V
08-08-2013,24:00,1012,V,295,V,23.5,V
09-08-2013,24:00,1012,V,298,V,24.7,V
