Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
01-01-2013,24:00,2,V,23,V,3.1,V,60,V,0,V
02-01-2013,24:00,4,V,23,V,3.5,V,65,V,0,V
03-01-2013,24:00,4,V,23,V,2.4,V,60,V,0,V
04-01-2013,24:00,16,V,158,V,1.4,V,52,V,0,V
05-01-2013,24:00,10,V,158,V,3.5,V,42,V,0,V
06-01-2013,24:00,5,V,23,V,1.6,V,61,V,0,V
07-01-2013,24:00,6,V,335,V,1.3,V,65,V,0,V
08-01-2013,24:00,6,V,23,V,2,V,71,V,0,V
09-01-2013,24:00,6,V,334,V,1.4,V,73,V,0,V
10-01-2013,24:00,6,V,23,V,2,V,76,V,0,V
11-01-2013,24:00,6,V,22,V,1.8,V,74,V,0,V
12-01-2013,24:00,7,V,23,V,1.9,V,75,V,0,V
13-01-2013,24:00,5,V,23,V,3,V,70,V,0,V
14-01-2013,24:00,5,V,22,V,4.5,V,61,V,0,V
15-01-2013,24:00,6,V,23,V,3.3,V,67,V,0,V
16-01-2013,24:00,6,V,335,V,1.1,V,74,V,0,V
17-01-2013,24:00,3,V,23,V,2.5,V,66,V,0,V
18-01-2013,24:00,2,V,335,V,2.1,V,63,V,0,V
19-01-2013,24:00,5,V,335,V,3.1,V,63,V,0,V
20-01-2013,24:00,3,V,335,V,2.8,V,62,V,0,V
21-01-2013,24:00,2,V,334,V,2.7,V,68,V,0,V
22-01-2013,24:00,2,V,21,V,4,V,63,V,0,V
23-01-2013,24:00,4,V,22,V,4.6,V,56,V,0,V
24-01-2013,24:00,3,V,22,V,4.1,V,61,V,0,V
25-01-2013,24:00,2,V,335,V,3.1,V,66,V,0,V
26-01-2013,24:00,2,V,334,V,3.3,V,72,V,0,V
27-01-2013,24:00,2,V,23,V,3.6,V,72,V,0,V
28-01-2013,24:00,3,V,23,V,2.8,V,72,V,0,V
29-01-2013,24:00,7,V,23,V,1.6,V,71,V,0,V
30-01-2013,24:00,8,V,44,V,1.2,V,60,V,0,V
31-01-2013,24:00,5,V,8,V,1.6,V,58,V,0,V
01-02-2013,24:00,9,V,23,V,2,V,75,V,0,V
02-02-2013,24:00,6,V,23,V,3.3,V,73,V,0,V
03-02-2013,24:00,5,V,21,V,4.4,V,59,V,0,V
04-02-2013,24:00,23,V,23,V,3.3,V,64,V,0,V
05-02-2013,24:00,17,V,158,V,2.5,V,45,V,0,V
06-02-2013,24:00,4,V,23,V,2.6,V,68,V,0,V
07-02-2013,24:00,6,V,22,V,3.6,V,63,V,0,V
08-02-2013,24:00,6,V,21,V,3.9,V,61,V,0,V
09-02-2013,24:00,6,V,22,V,4.2,V,61,V,0,V
10-02-2013,24:00,7,V,22,V,3.4,V,65,V,0,V
11-02-2013,24:00,5,V,23,V,3.4,V,72,V,0,V
12-02-2013,24:00,3,V,22,V,4.2,V,63,V,0,V
13-02-2013,24:00,5,V,22,V,4.1,V,68,V,0,V
14-02-2013,24:00,7,V,23,V,2.6,V,75,V,0,V
15-02-2013,24:00,8,V,335,V,1.7,V,65,V,0,V
16-02-2013,24:00,,N,,N,,N,,N,,N
17-02-2013,24:00,,N,,N,,N,,N,,N
18-02-2013,24:00,,N,335,V,3.4,V,,N,,N
19-02-2013,24:00,1,V,335,V,3.2,V,56,V,0,V
20-02-2013,24:00,2,V,335,V,2.2,V,60,V,0,V
21-02-2013,24:00,3,V,158,V,1.7,V,68,V,0,V
22-02-2013,24:00,2,V,335,V,1.7,V,69,V,0,V
23-02-2013,24:00,4,V,23,V,3.7,V,63,V,0,V
24-02-2013,24:00,4,V,23,V,3.8,V,63,V,0,V
25-02-2013,24:00,7,V,23,V,2.7,V,69,V,0,V
26-02-2013,24:00,7,V,293,V,1.3,V,66,V,0,V
27-02-2013,24:00,4,V,335,V,1.8,V,57,V,0,V
28-02-2013,24:00,3,V,23,V,2.2,V,57,V,0,V
01-03-2013,24:00,3,V,158,V,1.6,V,62,V,0,V
02-03-2013,24:00,2,V,180,V,2.1,V,70,V,0,V
03-03-2013,24:00,2,V,180,V,5.4,V,70,V,0.1,V
04-03-2013,24:00,5,V,226,V,3.2,V,70,V,0.3,V
05-03-2013,24:00,4,V,292,V,3.3,V,61,V,0,V
06-03-2013,24:00,5,V,158,V,1.8,V,70,V,0,V
07-03-2013,24:00,3,V,293,V,1.8,V,69,V,0,V
08-03-2013,24:00,4,V,158,V,1.4,V,78,V,0,V
09-03-2013,24:00,3,V,335,V,2.1,V,66,V,0,V
10-03-2013,24:00,3,V,336,V,2.1,V,58,V,0,V
11-03-2013,24:00,2,V,336,V,1.6,V,64,V,0,V
12-03-2013,24:00,,N,335,V,1.2,V,,N,,N
13-03-2013,24:00,2,V,335,V,1.9,V,64,V,0,V
14-03-2013,24:00,2,V,24,V,2.3,V,73,V,0,V
15-03-2013,24:00,3,V,158,V,1.5,V,73,V,0,V
16-03-2013,24:00,3,V,158,V,1.2,V,60,V,0,V
17-03-2013,24:00,2,V,293,V,2.3,V,62,V,0,V
