Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
01-01-2013,24:00,84,V,0.9,V,0.2,V,0.2,V,13,V
02-01-2013,24:00,81,V,0.9,V,0.2,V,0.2,V,18,V
03-01-2013,24:00,82,V,1.1,V,0.2,V,0.2,V,16,V
04-01-2013,24:00,62,V,2.7,V,0.6,V,0.2,V,118,V
05-01-2013,24:00,75,V,1.7,V,0.3,V,0.2,V,56,V
06-01-2013,24:00,84,V,1.2,V,0.2,V,0.2,V,37,V
07-01-2013,24:00,76,V,1.8,V,0.3,V,0.2,V,29,V
08-01-2013,24:00,76,V,1.6,V,0.3,V,0.2,V,25,V
09-01-2013,24:00,78,V,1.4,V,0.3,V,0.2,V,22,V
10-01-2013,24:00,80,V,1.6,V,0.3,V,0.2,V,23,V
11-01-2013,24:00,86,V,4.1,V,0.4,V,0.2,V,21,V
12-01-2013,24:00,77,V,1.7,V,0.3,V,0.2,V,20,V
13-01-2013,24:00,83,V,1.3,V,0.2,V,0.2,V,19,V
14-01-2013,24:00,86,V,1.5,V,0.3,V,0.2,V,36,V
15-01-2013,24:00,87,V,2.3,V,0.3,V,0.2,V,33,V
16-01-2013,24:00,76,V,5.2,V,0.3,V,0.2,V,32,V
17-01-2013,24:00,85,V,1.3,V,0.3,V,0.2,V,14,V
18-01-2013,24:00,75,V,1.4,V,0.3,V,0.2,V,11,V
19-01-2013,24:00,83,V,1.2,V,0.2,V,0.2,V,23,V
20-01-2013,24:00,86,V,1.1,V,0.2,V,0.2,V,14,V
21-01-2013,24:00,72,V,0.9,V,0.2,V,0.2,V,9,V
22-01-2013,24:00,85,V,,N,,N,,N,13,V
23-01-2013,24:00,85,V,1.3,V,0.4,V,0.2,V,24,V
24-01-2013,24:00,83,V,1,V,0.2,V,0.2,V,20,V
25-01-2013,24:00,75,V,1,V,0.2,V,0.2,V,11,V
26-01-2013,24:00,69,V,0.8,V,0.2,V,0.2,V,10,V
27-01-2013,24:00,71,V,0.7,V,0.2,V,0.2,V,8,V
28-01-2013,24:00,68,V,1.1,V,0.2,V,0.2,V,14,V
29-01-2013,24:00,61,V,1.4,V,0.3,V,0.2,V,22,V
30-01-2013,24:00,51,V,2.3,V,0.5,V,0.3,V,33,V
31-01-2013,24:00,63,V,1.6,V,0.3,V,0.2,V,24,V
01-02-2013,24:00,79,V,1.7,V,0.4,V,0.2,V,30,V
02-02-2013,24:00,63,V,1.1,V,0.2,V,0.2,V,25,V
03-02-2013,24:00,92,V,,N,,N,,N,27,V
04-02-2013,24:00,79,V,,N,,N,,N,165,V
05-02-2013,24:00,73,V,,N,,N,,N,109,V
06-02-2013,24:00,86,V,,N,,N,,N,26,V
07-02-2013,24:00,92,V,,N,,N,,N,34,V
08-02-2013,24:00,90,V,1.4,V,0.3,V,0.5,V,39,V
09-02-2013,24:00,92,V,,N,,N,,N,34,V
10-02-2013,24:00,92,V,,N,,N,,N,39,V
11-02-2013,24:00,96,V,,N,,N,,N,29,V
12-02-2013,24:00,89,V,,N,,N,,N,22,V
13-02-2013,24:00,83,V,,N,,N,,N,30,V
14-02-2013,24:00,78,V,,N,,N,,N,45,V
15-02-2013,24:00,68,V,1.3,V,0.3,V,0.2,V,51,V
16-02-2013,24:00,,N,,N,,N,,N,,N
17-02-2013,24:00,,N,,N,,N,,N,,N
18-02-2013,24:00,,N,,N,,N,,N,,N
19-02-2013,24:00,89,V,1,V,0.3,V,0.2,V,15,V
20-02-2013,24:00,78,V,3.2,V,0.3,V,0.2,V,14,V
21-02-2013,24:00,66,V,2,V,0.4,V,0.2,V,13,V
22-02-2013,24:00,62,V,1.7,V,0.3,V,0.2,V,12,V
23-02-2013,24:00,92,V,0.7,V,0.2,V,0.2,V,20,V
24-02-2013,24:00,97,V,0.7,V,0.2,V,0.2,V,22,V
25-02-2013,24:00,97,V,1.1,V,0.3,V,0.2,V,32,V
26-02-2013,24:00,87,V,1.7,V,0.4,V,0.2,V,30,V
27-02-2013,24:00,94,V,1,V,0.3,V,0.2,V,25,V
28-02-2013,24:00,96,V,1.3,V,0.3,V,0.2,V,17,V
01-03-2013,24:00,95,V,1.3,V,0.5,V,0.2,V,16,V
02-03-2013,24:00,85,V,1,V,0.3,V,0.2,V,15,V
03-03-2013,24:00,80,V,1.1,V,0.3,V,0.2,V,21,V
04-03-2013,24:00,96,V,0.7,V,0.3,V,0.2,V,20,V
05-03-2013,24:00,92,V,1,V,0.3,V,0.2,V,25,V
06-03-2013,24:00,58,V,1.8,V,0.3,V,0.2,V,27,V
07-03-2013,24:00,35,V,1.6,V,0.2,V,0.2,V,15,V
08-03-2013,24:00,31,V,3,V,0.4,V,0.2,V,19,V
09-03-2013,24:00,62,V,1.8,V,0.3,V,0.2,V,17,V
10-03-2013,24:00,92,V,0.8,V,0.2,V,0.2,V,19,V
11-03-2013,24:00,85,V,1.4,V,0.3,V,0.2,V,12,V
12-03-2013,24:00,,N,,N,,N,,N,,N
13-03-2013,24:00,70,V,1.3,V,0.2,V,0.2,V,16,V
14-03-2013,24:00,74,V,1.2,V,0.2,V,0.2,V,17,V
15-03-2013,24:00,95,V,1.2,V,0.3,V,0.2,V,20,V
16-03-2013,24:00,68,V,1.8,V,0.3,V,0.2,V,18,V
17-03-2013,24:00,78,V,1.1,V,0.2,V,0.2,V,16,V
18-03-2013,24:00,72,V,1.7,V,0.3,V,0.2,V,13,V
19-03-2013,24:00,75,V,1.2,V,0.3,V,0.2,V,12,V
