Fecha,Hora,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario RS (W/m²),Flag
01-01-2014,24:00,25,V,6,V,0.9,V,62,V,166,V
02-01-2014,24:00,318,V,2,V,0.7,V,69,V,170,V
03-01-2014,24:00,335,V,2,V,0.9,V,74,V,164,V
04-01-2014,24:00,22,V,1,V,2.3,V,74,V,118,V
05-01-2014,24:00,22,V,1,V,2.1,V,72,V,145,V
06-01-2014,24:00,24,V,2,V,1.1,V,70,V,152,V
07-01-2014,24:00,332,V,4,V,0.3,V,75,V,168,V
08-01-2014,24:00,157,V,4,V,3,V,55,V,166,V
09-01-2014,24:00,174,V,4,V,2.8,V,62,V,126,V
10-01-2014,24:00,23,V,1,V,2.1,V,74,V,154,V
11-01-2014,24:00,158,V,6,V,1.2,V,64,V,168,V
12-01-2014,24:00,21,V,9,V,1.6,V,69,V,170,V
13-01-2014,24:00,21,V,7,V,2.6,V,76,V,137,V
14-01-2014,24:00,22,V,,N,3.9,V,60,V,146,V
15-01-2014,24:00,20,V,3,V,2,V,68,V,74,V
16-01-2014,24:00,317,V,1,V,1.1,V,77,V,73,V
17-01-2014,24:00,293,V,3,V,2.8,V,66,V,104,V
18-01-2014,24:00,315,V,6,V,2.7,V,62,V,125,V
19-01-2014,24:00,315,V,2,V,1.8,V,70,V,147,V
20-01-2014,24:00,334,V,2,V,2.9,V,65,V,155,V
21-01-2014,24:00,22,V,1,V,3,V,64,V,118,V
22-01-2014,24:00,334,V,1,V,2.6,V,73,V,111,V
23-01-2014,24:00,21,V,5,V,5.6,V,57,V,147,V
24-01-2014,24:00,22,V,7,V,6.1,V,60,V,170,V
25-01-2014,24:00,21,V,5,V,4.4,V,61,V,152,V
26-01-2014,24:00,21,V,4,V,3.6,V,68,V,136,V
27-01-2014,24:00,21,V,,N,3.1,V,,N,,N
28-01-2014,24:00,20,V,2,V,3.3,V,66,V,129,V
29-01-2014,24:00,315,V,3,V,3.3,V,66,V,135,V
30-01-2014,24:00,316,V,4,V,3.7,V,52,V,159,V
31-01-2014,24:00,317,V,2,V,2.7,V,58,V,123,V
01-02-2014,24:00,318,V,1,V,2.2,V,72,V,117,V
02-02-2014,24:00,317,V,1,V,0.7,V,77,V,97,V
03-02-2014,24:00,317,V,2,V,1,V,66,V,155,V
04-02-2014,24:00,313,V,4,V,0.7,V,73,V,197,V
05-02-2014,24:00,315,V,7,V,0.1,V,65,V,204,V
