Fecha,Hora,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
01-01-2015,24:00,23,V,0.4,V,1.9,V,18.1,V,47,V
02-01-2015,24:00,23,V,0.3,V,2.3,V,18.8,V,43,V
03-01-2015,24:00,23,V,0.4,V,2.9,V,18.3,V,44,V
04-01-2015,24:00,23,V,0.4,V,2.1,V,18.3,V,42,V
05-01-2015,24:00,23,V,0.4,V,2,V,18.3,V,51,V
06-01-2015,24:00,22,V,0.3,V,3.4,V,17.6,V,55,V
07-01-2015,24:00,22,V,0.3,V,3.6,V,17.6,V,57,V
08-01-2015,24:00,22,V,0.4,V,4.2,V,18.1,V,62,V
09-01-2015,24:00,23,V,,N,3.1,V,18,V,60,V
10-01-2015,24:00,22,V,,N,3.2,V,19.4,V,56,V
11-01-2015,24:00,22,V,,N,3.2,V,19.4,V,57,V
12-01-2015,24:00,22,V,,N,2.1,V,19.5,V,61,V
13-01-2015,24:00,22,V,,N,1.9,V,18.4,V,56,V
14-01-2015,24:00,22,V,,N,3.3,V,18,V,73,V
15-01-2015,24:00,21,V,,N,3.1,V,18,V,74,V
16-01-2015,24:00,24,V,,N,4.2,V,16.9,V,70,V
17-01-2015,24:00,23,V,,N,4.1,V,16.4,V,52,V
18-01-2015,24:00,26,V,,N,2.5,V,17,V,62,V
19-01-2015,24:00,25,V,,N,4.3,V,16.9,V,66,V
20-01-2015,24:00,24,V,,N,4.1,V,16.8,V,58,V
21-01-2015,24:00,23,V,0.4,V,4.2,V,17,V,56,V
22-01-2015,24:00,22,V,0.5,V,3.9,V,17.1,V,55,V
23-01-2015,24:00,22,V,0.5,V,4.3,V,17.7,V,61,V
24-01-2015,24:00,22,V,0.3,V,4.2,V,17.7,V,62,V
25-01-2015,24:00,22,V,0.4,V,3.7,V,17.3,V,62,V
26-01-2015,24:00,22,V,0.5,V,2.7,V,17.3,V,72,V
27-01-2015,24:00,22,V,0.5,V,3.6,V,17.1,V,67,V
28-01-2015,24:00,22,V,0.3,V,3.3,V,17.4,V,57,V
29-01-2015,24:00,23,V,0.4,V,2.9,V,17.3,V,55,V
30-01-2015,24:00,23,V,0.3,V,3.6,V,18.1,V,68,V
31-01-2015,24:00,23,V,0.2,V,4,V,17.5,V,68,V
01-02-2015,24:00,23,V,0.4,V,4,V,17.3,V,63,V
02-02-2015,24:00,22,V,0.5,V,4.2,V,16.7,V,55,V
03-02-2015,24:00,22,V,0.4,V,3.6,V,16.7,V,58,V
04-02-2015,24:00,22,V,0.4,V,3.1,V,17.2,V,53,V
05-02-2015,24:00,23,V,0.4,V,3.3,V,16.9,V,53,V
