Fecha,Hora,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag
01-01-2015,24:00,7,V,8,V,12,V,23,V,84,V
02-01-2015,24:00,15,V,26,V,26,V,65,V,76,V
03-01-2015,24:00,17,V,28,V,32,V,75,V,73,V
04-01-2015,24:00,9,V,6,V,9,V,19,V,93,V
05-01-2015,24:00,,N,11,V,18,V,34,V,89,V
06-01-2015,24:00,11,V,6,V,10,V,19,V,94,V
07-01-2015,24:00,6,V,6,V,13,V,22,V,88,V
08-01-2015,24:00,5,V,6,V,13,V,22,V,93,V
09-01-2015,24:00,,N,,N,,N,,N,,N
10-01-2015,24:00,9,V,9,V,13,V,27,V,74,V
11-01-2015,24:00,10,V,25,V,18,V,56,V,74,V
12-01-2015,24:00,9,V,13,V,26,V,45,V,54,V
13-01-2015,24:00,10,V,6,V,16,V,24,V,67,V
14-01-2015,24:00,8,V,4,V,15,V,21,V,73,V
15-01-2015,24:00,6,V,4,V,15,V,21,V,73,V
16-01-2015,24:00,7,V,6,V,14,V,22,V,76,V
17-01-2015,24:00,7,V,4,V,7,V,13,V,83,V
18-01-2015,24:00,7,V,3,V,6,V,12,V,79,V
19-01-2015,24:00,7,V,4,V,9,V,15,V,83,V
20-01-2015,24:00,6,V,4,V,7,V,13,V,85,V
21-01-2015,24:00,6,V,4,V,8,V,14,V,88,V
22-01-2015,24:00,7,V,4,V,9,V,15,V,89,V
23-01-2015,24:00,7,V,4,V,9,V,15,V,85,V
24-01-2015,24:00,6,V,4,V,7,V,13,V,80,V
25-01-2015,24:00,7,V,4,V,7,V,13,V,89,V
26-01-2015,24:00,6,V,4,V,14,V,20,V,84,V
27-01-2015,24:00,7,V,4,V,11,V,17,V,88,V
28-01-2015,24:00,7,V,4,V,9,V,15,V,83,V
29-01-2015,24:00,7,V,4,V,10,V,16,V,82,V
30-01-2015,24:00,7,V,4,V,8,V,14,V,74,V
31-01-2015,24:00,8,V,4,V,6,V,11,V,76,V
01-02-2015,24:00,6,V,3,V,6,V,11,V,85,V
02-02-2015,24:00,6,V,4,V,10,V,16,V,92,V
03-02-2015,24:00,7,V,4,V,9,V,15,V,87,V
04-02-2015,24:00,7,V,5,V,10,V,17,V,86,V
05-02-2015,24:00,,N,4,V,12,V,17,V,88,V
06-02-2015,24:00,,N,4,V,10,V,16,V,91,V
07-02-2015,24:00,,N,3,V,9,V,14,V,88,V
08-02-2015,24:00,,N,5,V,11,V,18,V,86,V
09-02-2015,24:00,,N,5,V,20,V,27,V,77,V
10-02-2015,24:00,,N,9,V,26,V,40,V,73,V
11-02-2015,24:00,,N,5,V,27,V,35,V,75,V
12-02-2015,24:00,,N,4,V,16,V,23,V,82,V
13-02-2015,24:00,,N,4,V,11,V,17,V,93,V
14-02-2015,24:00,,N,4,V,8,V,13,V,97,V
15-02-2015,24:00,,N,3,V,7,V,13,V,85,V
16-02-2015,24:00,,N,,N,,N,,N,,N
17-02-2015,24:00,6,V,3,V,6,V,11,V,97,V
18-02-2015,24:00,6,V,4,V,8,V,14,V,97,V
19-02-2015,24:00,7,V,4,V,8,V,13,V,103,V
20-02-2015,24:00,6,V,4,V,8,V,14,V,107,V
21-02-2015,24:00,6,V,4,V,7,V,13,V,94,V
22-02-2015,24:00,6,V,4,V,7,V,12,V,91,V
23-02-2015,24:00,6,V,4,V,8,V,15,V,76,V
24-02-2015,24:00,6,V,4,V,8,V,14,V,78,V
25-02-2015,24:00,6,V,4,V,9,V,15,V,98,V
26-02-2015,24:00,6,V,4,V,10,V,16,V,93,V
27-02-2015,24:00,6,V,4,V,7,V,13,V,88,V
28-02-2015,24:00,6,V,4,V,6,V,11,V,93,V
01-03-2015,24:00,6,V,4,V,5,V,11,V,74,V
02-03-2015,24:00,7,V,4,V,11,V,17,V,78,V
03-03-2015,24:00,6,V,4,V,9,V,15,V,85,V
04-03-2015,24:00,7,V,4,V,12,V,18,V,76,V
05-03-2015,24:00,6,V,6,V,17,V,25,V,72,V
06-03-2015,24:00,6,V,4,V,13,V,20,V,79,V
07-03-2015,24:00,15,V,19,V,34,V,63,V,56,V
08-03-2015,24:00,13,V,27,V,18,V,59,V,82,V
09-03-2015,24:00,6,V,4,V,12,V,18,V,105,V
10-03-2015,24:00,6,V,5,V,12,V,19,V,104,V
11-03-2015,24:00,6,V,7,V,17,V,28,V,89,V
12-03-2015,24:00,6,V,4,V,11,V,18,V,100,V
13-03-2015,24:00,6,V,4,V,7,V,13,V,79,V
14-03-2015,24:00,6,V,4,V,6,V,11,V,93,V
15-03-2015,24:00,6,V,3,V,6,V,11,V,102,V
16-03-2015,24:00,7,V,4,V,10,V,16,V,90,V
17-03-2015,24:00,6,V,4,V,7,V,13,V,91,V
18-03-2015,24:00,6,V,4,V,8,V,14,V,93,V
19-03-2015,24:00,6,V,4,V,9,V,14,V,98,V
20-03-2015,24:00,6,V,4,V,13,V,18,V,99,V
21-03-2015,24:00,6,V,4,V,11,V,17,V,94,V
22-03-2015,24:00,6,V,3,V,7,V,12,V,100,V
23-03-2015,24:00,6,V,4,V,9,V,15,V,95,V
24-03-2015,24:00,6,V,4,V,7,V,12,V,96,V
25-03-2015,24:00,6,V,4,V,7,V,13,V,94,V
26-03-2015,24:00,6,V,4,V,8,V,14,V,95,V
27-03-2015,24:00,6,V,4,V,8,V,14,V,94,V
28-03-2015,24:00,6,V,4,V,7,V,13,V,83,V
29-03-2015,24:00,6,V,4,V,6,V,12,V,87,V
30-03-2015,24:00,6,V,4,V,8,V,14,V,79,V
31-03-2015,24:00,6,V,4,V,8,V,15,V,84,V
01-04-2015,24:00,,N,,N,,N,,N,,N
02-04-2015,24:00,,N,,N,,N,,N,,N
03-04-2015,24:00,,N,,N,,N,,N,,N
04-04-2015,24:00,,N,,N,,N,,N,,N
05-04-2015,24:00,,N,,N,,N,,N,,N
06-04-2015,24:00,,N,,N,,N,,N,,N
07-04-2015,24:00,7,V,4,V,11,V,18,V,84,V
08-04-2015,24:00,5,V,4,V,11,V,17,V,88,V
09-04-2015,24:00,,N,,N,,N,,N,,N
10-04-2015,24:00,2,V,4,V,11,V,17,V,76,V
11-04-2015,24:00,2,V,4,V,9,V,14,V,81,V
12-04-2015,24:00,2,V,4,V,9,V,15,V,88,V
13-04-2015,24:00,2,V,4,V,14,V,21,V,86,V
14-04-2015,24:00,2,V,5,V,17,V,25,V,76,V
15-04-2015,24:00,1,V,4,V,12,V,19,V,93,V
16-04-2015,24:00,1,V,4,V,11,V,18,V,100,V
17-04-2015,24:00,1,V,4,V,11,V,18,V,94,V
18-04-2015,24:00,1,V,4,V,10,V,15,V,95,V
19-04-2015,24:00,1,V,3,V,8,V,13,V,91,V
20-04-2015,24:00,1,V,4,V,10,V,16,V,87,V
21-04-2015,24:00,1,V,4,V,10,V,17,V,80,V
22-04-2015,24:00,1,V,4,V,11,V,17,V,83,V
23-04-2015,24:00,1,V,5,V,14,V,20,V,81,V
24-04-2015,24:00,1,V,4,V,11,V,18,V,80,V
25-04-2015,24:00,1,V,7,V,14,V,25,V,51,V
26-04-2015,24:00,1,V,5,V,10,V,19,V,64,V
27-04-2015,24:00,1,V,5,V,11,V,17,V,76,V
28-04-2015,24:00,1,V,5,V,11,V,19,V,84,V
29-04-2015,24:00,1,V,4,V,10,V,17,V,80,V
30-04-2015,24:00,1,V,5,V,13,V,20,V,78,V
01-05-2015,24:00,2,V,9,V,15,V,29,V,69,V
02-05-2015,24:00,2,V,4,V,16,V,23,V,76,V
03-05-2015,24:00,2,V,4,V,11,V,17,V,83,V
04-05-2015,24:00,2,V,5,V,13,V,20,V,53,V
05-05-2015,24:00,2,V,4,V,10,V,17,V,72,V
06-05-2015,24:00,2,V,5,V,11,V,20,V,77,V
07-05-2015,24:00,2,V,6,V,14,V,23,V,61,V
08-05-2015,24:00,1,V,5,V,11,V,19,V,65,V
09-05-2015,24:00,2,V,4,V,9,V,15,V,72,V
10-05-2015,24:00,2,V,4,V,10,V,15,V,79,V
11-05-2015,24:00,2,V,4,V,13,V,20,V,84,V
12-05-2015,24:00,2,V,5,V,15,V,23,V,84,V
13-05-2015,24:00,2,V,5,V,13,V,20,V,92,V
14-05-2015,24:00,4,V,5,V,13,V,19,V,100,V
15-05-2015,24:00,4,V,4,V,10,V,17,V,92,V
16-05-2015,24:00,4,V,4,V,10,V,16,V,87,V
17-05-2015,24:00,5,V,5,V,9,V,17,V,94,V
18-05-2015,24:00,6,V,4,V,10,V,16,V,85,V
19-05-2015,24:00,5,V,5,V,9,V,16,V,77,V
20-05-2015,24:00,6,V,4,V,9,V,15,V,96,V
21-05-2015,24:00,6,V,4,V,9,V,15,V,96,V
22-05-2015,24:00,6,V,4,V,9,V,16,V,97,V
23-05-2015,24:00,6,V,4,V,8,V,13,V,96,V
24-05-2015,24:00,7,V,4,V,7,V,13,V,82,V
25-05-2015,24:00,7,V,5,V,10,V,17,V,62,V
26-05-2015,24:00,7,V,4,V,10,V,16,V,81,V
27-05-2015,24:00,7,V,4,V,10,V,17,V,87,V
28-05-2015,24:00,7,V,4,V,12,V,18,V,84,V
29-05-2015,24:00,7,V,5,V,11,V,18,V,84,V
30-05-2015,24:00,7,V,4,V,9,V,15,V,85,V
31-05-2015,24:00,7,V,4,V,7,V,13,V,74,V
01-06-2015,24:00,7,V,5,V,9,V,16,V,59,V
02-06-2015,24:00,8,V,4,V,9,V,15,V,66,V
03-06-2015,24:00,8,V,4,V,10,V,16,V,86,V
04-06-2015,24:00,7,V,5,V,10,V,17,V,72,V
05-06-2015,24:00,8,V,5,V,11,V,18,V,76,V
06-06-2015,24:00,8,V,4,V,8,V,14,V,70,V
07-06-2015,24:00,8,V,4,V,7,V,14,V,73,V
08-06-2015,24:00,6,V,4,V,10,V,17,V,79,V
09-06-2015,24:00,2,V,5,V,10,V,18,V,73,V
10-06-2015,24:00,3,V,5,V,11,V,19,V,59,V
11-06-2015,24:00,3,V,6,V,12,V,20,V,53,V
12-06-2015,24:00,3,V,6,V,12,V,22,V,41,V
13-06-2015,24:00,2,V,7,V,14,V,25,V,43,V
14-06-2015,24:00,2,V,4,V,8,V,15,V,62,V
15-06-2015,24:00,2,V,5,V,9,V,17,V,66,V
16-06-2015,24:00,3,V,4,V,9,V,15,V,81,V
17-06-2015,24:00,3,V,4,V,9,V,16,V,88,V
18-06-2015,24:00,3,V,4,V,10,V,17,V,93,V
19-06-2015,24:00,3,V,5,V,10,V,17,V,89,V
20-06-2015,24:00,3,V,4,V,8,V,14,V,86,V
21-06-2015,24:00,3,V,4,V,8,V,14,V,85,V
