Fecha,Hora,Casa Palacio-Puerto del Rosario PRB (mb),Flag,Casa Palacio-Puerto del Rosario RS (W/m²),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
01-01-2016,24:00,1028,V,158,V,0,V
02-01-2016,24:00,1029,V,161,V,0,V
03-01-2016,24:00,1029,V,153,V,0,V
04-01-2016,24:00,1025,V,143,V,0,V
05-01-2016,24:00,1022,V,88,V,0,V
06-01-2016,24:00,1025,V,147,V,0,V
07-01-2016,24:00,1022,V,147,V,0,V
08-01-2016,24:00,1018,V,162,V,0,V
09-01-2016,24:00,1021,V,86,V,0,V
10-01-2016,24:00,1022,V,130,V,0,V
11-01-2016,24:00,1023,V,172,V,0,V
12-01-2016,24:00,1021,V,161,V,0,V
13-01-2016,24:00,1020,V,170,V,0,V
14-01-2016,24:00,1021,V,157,V,0,V
15-01-2016,24:00,1023,V,133,V,0,V
16-01-2016,24:00,1022,V,141,V,0,V
17-01-2016,24:00,1023,V,128,V,0,V
18-01-2016,24:00,1022,V,89,V,0,V
19-01-2016,24:00,1020,V,153,V,0,V
20-01-2016,24:00,1023,V,173,V,0,V
21-01-2016,24:00,1026,V,159,V,0,V
22-01-2016,24:00,1028,V,99,V,0,V
23-01-2016,24:00,1029,V,177,V,0,V
24-01-2016,24:00,1031,V,145,V,0,V
25-01-2016,24:00,1033,V,187,V,0,V
26-01-2016,24:00,1034,V,181,V,0,V
27-01-2016,24:00,1031,V,162,V,0,V
28-01-2016,24:00,1031,V,149,V,0,V
29-01-2016,24:00,1030,V,127,V,0,V
30-01-2016,24:00,1034,V,153,V,0,V
31-01-2016,24:00,1033,V,141,V,0,V
01-02-2016,24:00,1032,V,156,V,0,V
02-02-2016,24:00,1030,V,90,V,0,V
03-02-2016,24:00,1028,V,180,V,0,V
04-02-2016,24:00,1026,V,153,V,0,V
05-02-2016,24:00,1023,V,176,V,0,V
06-02-2016,24:00,1025,V,156,V,0,V
07-02-2016,24:00,1032,V,169,V,0,V
08-02-2016,24:00,1034,V,139,V,0,V
09-02-2016,24:00,1036,V,165,V,0,V
10-02-2016,24:00,1031,V,126,V,0,V
11-02-2016,24:00,1028,V,134,V,0,V
12-02-2016,24:00,1027,V,182,V,0,V
13-02-2016,24:00,1028,V,151,V,0,V
14-02-2016,24:00,1028,V,134,V,0,V
15-02-2016,24:00,1028,V,118,V,0,V
16-02-2016,24:00,1029,V,181,V,0,V
17-02-2016,24:00,1031,V,187,V,0,V
18-02-2016,24:00,1023,V,62,V,0.2,V
19-02-2016,24:00,1016,V,117,V,0.2,V
20-02-2016,24:00,1015,V,104,V,0.2,V
21-02-2016,24:00,1017,V,210,V,0,V
22-02-2016,24:00,1026,V,221,V,0,V
23-02-2016,24:00,1028,V,235,V,0,V
24-02-2016,24:00,1026,V,228,V,0,V
25-02-2016,24:00,1026,V,226,V,0,V
26-02-2016,24:00,1024,V,145,V,0,V
27-02-2016,24:00,1021,V,176,V,0,V
28-02-2016,24:00,1019,V,179,V,0,V
29-02-2016,24:00,1023,V,159,V,0,V
01-03-2016,24:00,1025,V,201,V,0,V
02-03-2016,24:00,1026,V,172,V,0,V
03-03-2016,24:00,1021,V,234,V,0,V
04-03-2016,24:00,1017,V,166,V,0,V
05-03-2016,24:00,1019,V,96,V,0,V
06-03-2016,24:00,1019,V,117,V,0,V
07-03-2016,24:00,1019,V,133,V,0,V
08-03-2016,24:00,1019,V,147,V,0,V
09-03-2016,24:00,1020,V,203,V,0,V
10-03-2016,24:00,1020,V,201,V,0,V
11-03-2016,24:00,1019,V,201,V,0,V
12-03-2016,24:00,1018,V,189,V,0,V
13-03-2016,24:00,1016,V,262,V,0,V
14-03-2016,24:00,1017,V,263,V,0,V
15-03-2016,24:00,1020,V,235,V,0,V
16-03-2016,24:00,1020,V,227,V,0,V
17-03-2016,24:00,1019,V,252,V,0,V
18-03-2016,24:00,1019,V,260,V,0,V
19-03-2016,24:00,1017,V,204,V,0,V
20-03-2016,24:00,1017,V,188,V,0,V
21-03-2016,24:00,1019,V,258,V,0,V
22-03-2016,24:00,1023,V,178,V,0,V
23-03-2016,24:00,1019,V,206,V,0,V
24-03-2016,24:00,1022,V,181,V,0,V
25-03-2016,24:00,1029,V,230,V,0,V
26-03-2016,24:00,1029,V,271,V,0,V
27-03-2016,24:00,1026,V,312,V,0,V
28-03-2016,24:00,1022,V,280,V,0,V
29-03-2016,24:00,1017,V,277,V,0,V
30-03-2016,24:00,1011,V,215,V,0,V
31-03-2016,24:00,1016,V,147,V,0,V
01-04-2016,24:00,1017,V,247,V,0,V
02-04-2016,24:00,1013,V,110,V,0,V
03-04-2016,24:00,1018,V,216,V,0,V
04-04-2016,24:00,1020,V,261,V,0,V
05-04-2016,24:00,1017,V,188,V,0,V
06-04-2016,24:00,1013,V,244,V,0,V
07-04-2016,24:00,1013,V,241,V,0,V
08-04-2016,24:00,1015,V,261,V,0,V
09-04-2016,24:00,1016,V,299,V,0,V
10-04-2016,24:00,1014,V,288,V,0,V
11-04-2016,24:00,,N,,N,,N
12-04-2016,24:00,,N,,N,,N
13-04-2016,24:00,1016,V,253,V,0,V
14-04-2016,24:00,1014,V,306,V,0,V
15-04-2016,24:00,1015,V,302,V,0,V
16-04-2016,24:00,1016,V,298,V,0,V
17-04-2016,24:00,1014,V,281,V,0,V
18-04-2016,24:00,1010,V,203,V,0,V
19-04-2016,24:00,1013,V,257,V,0,V
20-04-2016,24:00,1019,V,266,V,0,V
21-04-2016,24:00,1019,V,265,V,0,V
22-04-2016,24:00,1019,V,299,V,0,V
23-04-2016,24:00,1016,V,268,V,0,V
24-04-2016,24:00,1014,V,291,V,0,V
25-04-2016,24:00,1012,V,232,V,0,V
26-04-2016,24:00,1011,V,311,V,0,V
27-04-2016,24:00,1007,V,317,V,0,V
28-04-2016,24:00,1006,V,205,V,0,V
29-04-2016,24:00,1007,V,289,V,0,V
30-04-2016,24:00,1014,V,246,V,0,V
01-05-2016,24:00,1016,V,187,V,0,V
02-05-2016,24:00,1012,V,274,V,0,V
03-05-2016,24:00,1009,V,304,V,0,V
04-05-2016,24:00,1006,V,319,V,0,V
05-05-2016,24:00,1011,V,246,V,0,V
06-05-2016,24:00,1014,V,231,V,0,V
07-05-2016,24:00,1011,V,275,V,0,V
08-05-2016,24:00,1002,V,272,V,0,V
09-05-2016,24:00,1006,V,118,V,0,V
10-05-2016,24:00,1006,V,258,V,0,V
