Fecha,Hora,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
01-01-2017,24:00,55,V,159,V,4.8,V,18.3,V,47,V
02-01-2017,24:00,103,V,182,V,3.4,V,18.3,V,53,V
03-01-2017,24:00,91,V,180,V,4.1,V,19.4,V,46,V
04-01-2017,24:00,38,V,181,V,2.7,V,18.6,V,50,V
05-01-2017,24:00,31,V,296,V,1,V,17.4,V,60,V
06-01-2017,24:00,27,V,172,V,2.8,V,18.2,V,56,V
07-01-2017,24:00,60,V,175,V,3.2,V,19.3,V,56,V
08-01-2017,24:00,79,V,157,V,3.2,V,20,V,52,V
09-01-2017,24:00,45,V,23,V,2,V,19.3,V,64,V
10-01-2017,24:00,30,V,21,V,3.5,V,17.9,V,66,V
11-01-2017,24:00,26,V,20,V,4.1,V,18.1,V,67,V
12-01-2017,24:00,144,V,24,V,1.9,V,19.3,V,64,V
13-01-2017,24:00,111,V,177,V,3.1,V,18.6,V,47,V
14-01-2017,24:00,33,V,22,V,3.1,V,18.3,V,64,V
15-01-2017,24:00,35,V,22,V,3.7,V,17.9,V,59,V
16-01-2017,24:00,85,V,43,V,2.7,V,18.8,V,60,V
17-01-2017,24:00,58,V,24,V,1.9,V,18.7,V,63,V
18-01-2017,24:00,22,V,7,V,2.4,V,17.1,V,52,V
19-01-2017,24:00,17,V,6,V,3,V,17.5,V,59,V
20-01-2017,24:00,22,V,7,V,2.5,V,16.9,V,60,V
21-01-2017,24:00,12,V,6,V,3.1,V,17.1,V,67,V
22-01-2017,24:00,15,V,6,V,2.8,V,16.8,V,57,V
23-01-2017,24:00,14,V,6,V,2.3,V,16.7,V,68,V
24-01-2017,24:00,15,V,21,V,3.3,V,16.9,V,62,V
25-01-2017,24:00,21,V,23,V,2.4,V,18.1,V,57,V
26-01-2017,24:00,20,V,294,V,2,V,18.1,V,60,V
27-01-2017,24:00,20,V,20,V,2,V,18.5,V,65,V
28-01-2017,24:00,18,V,22,V,2.5,V,17.8,V,66,V
29-01-2017,24:00,21,V,22,V,3.2,V,17.7,V,64,V
30-01-2017,24:00,29,V,7,V,2,V,18.1,V,69,V
31-01-2017,24:00,20,V,7,V,3.8,V,18.3,V,64,V
01-02-2017,24:00,21,V,6,V,2.7,V,17.3,V,61,V
02-02-2017,24:00,20,V,6,V,1.5,V,17.9,V,68,V
03-02-2017,24:00,22,V,7,V,1.6,V,18.8,V,70,V
04-02-2017,24:00,15,V,6,V,1.6,V,18,V,70,V
05-02-2017,24:00,17,V,23,V,3.5,V,18.5,V,74,V
06-02-2017,24:00,39,V,7,V,2.1,V,18.6,V,71,V
07-02-2017,24:00,42,V,6,V,1.3,V,18.6,V,70,V
08-02-2017,24:00,33,V,22,V,3.4,V,17.9,V,69,V
09-02-2017,24:00,25,V,6,V,3.1,V,17.9,V,62,V
10-02-2017,24:00,19,V,310,V,2,V,17.2,V,66,V
11-02-2017,24:00,,N,294,V,3,V,,N,,N
12-02-2017,24:00,,N,,N,,N,,N,,N
13-02-2017,24:00,26,V,173,V,3,V,17.2,V,64,V
14-02-2017,24:00,22,V,310,V,1.1,V,17.6,V,68,V
15-02-2017,24:00,19,V,7,V,1.4,V,17,V,74,V
16-02-2017,24:00,26,V,7,V,2.1,V,19.4,V,62,V
17-02-2017,24:00,123,V,22,V,3,V,21.7,V,51,V
18-02-2017,24:00,49,V,21,V,4,V,19.4,V,59,V
19-02-2017,24:00,27,V,21,V,3.8,V,18.2,V,62,V
20-02-2017,24:00,28,V,6,V,3.8,V,17.5,V,63,V
21-02-2017,24:00,44,V,6,V,3.6,V,17.8,V,66,V
22-02-2017,24:00,64,V,6,V,3.6,V,18.5,V,66,V
23-02-2017,24:00,99,V,6,V,3.1,V,18.3,V,65,V
24-02-2017,24:00,98,V,7,V,2.7,V,18.1,V,63,V
25-02-2017,24:00,29,V,19,V,3.4,V,18.3,V,60,V
26-02-2017,24:00,27,V,22,V,3.6,V,17.9,V,59,V
