Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag
01-01-2017,24:00,64,V,0.4,V,0.3,V,0.2,V,19,V
02-01-2017,24:00,51,V,0.6,V,0.7,V,0.2,V,29,V
03-01-2017,24:00,56,V,0.7,V,0.6,V,0.2,V,26,V
04-01-2017,24:00,49,V,0.6,V,0.6,V,0.2,V,12,V
05-01-2017,24:00,35,V,0.9,V,1,V,0.2,V,13,V
06-01-2017,24:00,42,V,0.5,V,0.4,V,0.2,V,11,V
07-01-2017,24:00,47,V,0.3,V,0.3,V,0.2,V,20,V
08-01-2017,24:00,69,V,0.3,V,0.2,V,0.2,V,23,V
09-01-2017,24:00,66,V,0.4,V,0.2,V,0.2,V,16,V
10-01-2017,24:00,72,V,0.4,V,0.3,V,0.2,V,13,V
11-01-2017,24:00,66,V,0.3,V,0.2,V,0.2,V,11,V
12-01-2017,24:00,53,V,0.4,V,0.2,V,0.2,V,34,V
13-01-2017,24:00,49,V,0.3,V,0.2,V,0.2,V,30,V
14-01-2017,24:00,66,V,0.3,V,0.2,V,0.2,V,10,V
15-01-2017,24:00,67,V,0.4,V,0.2,V,0.2,V,14,V
16-01-2017,24:00,52,V,0.4,V,0.3,V,0.2,V,26,V
17-01-2017,24:00,64,V,0.4,V,0.2,V,0.2,V,17,V
18-01-2017,24:00,68,V,0.4,V,0.3,V,0.2,V,7,V
19-01-2017,24:00,64,V,0.3,V,0.3,V,0.2,V,7,V
20-01-2017,24:00,70,V,0.4,V,0.3,V,0.2,V,8,V
21-01-2017,24:00,64,V,0.4,V,0.3,V,0.2,V,6,V
22-01-2017,24:00,80,V,0.5,V,0.2,V,0.2,V,8,V
23-01-2017,24:00,65,V,0.4,V,0.2,V,0.2,V,7,V
24-01-2017,24:00,,N,,N,,N,,N,8,V
25-01-2017,24:00,86,V,0.4,V,0.6,V,0.2,V,9,V
26-01-2017,24:00,66,V,0.5,V,0.5,V,0.2,V,12,V
27-01-2017,24:00,82,V,0.4,V,0.4,V,0.2,V,9,V
28-01-2017,24:00,81,V,0.4,V,0.3,V,0.2,V,9,V
29-01-2017,24:00,81,V,0.3,V,0.2,V,0.2,V,9,V
30-01-2017,24:00,77,V,0.4,V,0.3,V,0.2,V,13,V
31-01-2017,24:00,77,V,0.4,V,0.3,V,0.2,V,8,V
01-02-2017,24:00,81,V,0.4,V,0.2,V,0.2,V,6,V
02-02-2017,24:00,69,V,0.4,V,0.4,V,0.2,V,9,V
03-02-2017,24:00,47,V,0.4,V,0.4,V,0.2,V,12,V
