Fecha,Hora,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag,Casa Palacio-Puerto del Rosario PRB (mb),Flag
01-01-2018,24:00,74,V,0,V,1032,V
02-01-2018,24:00,77,V,0,V,1033,V
03-01-2018,24:00,77,V,0,V,1033,V
04-01-2018,24:00,76,V,0,V,1032,V
05-01-2018,24:00,72,V,0,V,1024,V
06-01-2018,24:00,65,V,0,V,1013,V
07-01-2018,24:00,57,V,0,V,1012,V
08-01-2018,24:00,59,V,0,V,1017,V
09-01-2018,24:00,66,V,0,V,1023,V
10-01-2018,24:00,76,V,0,V,1026,V
11-01-2018,24:00,69,V,0,V,1025,V
12-01-2018,24:00,66,V,0,V,1021,V
13-01-2018,24:00,61,V,0,V,1021,V
14-01-2018,24:00,66,V,0,V,1021,V
15-01-2018,24:00,59,V,0,V,1018,V
16-01-2018,24:00,59,V,0,V,1016,V
17-01-2018,24:00,67,V,0,V,1013,V
18-01-2018,24:00,65,V,0,V,1012,V
19-01-2018,24:00,60,V,0,V,1015,V
20-01-2018,24:00,69,V,0,V,1018,V
21-01-2018,24:00,76,V,0,V,1024,V
22-01-2018,24:00,74,V,0,V,1022,V
23-01-2018,24:00,71,V,0,V,1021,V
24-01-2018,24:00,71,V,0,V,1021,V
25-01-2018,24:00,69,V,0,V,1022,V
26-01-2018,24:00,63,V,0,V,1023,V
27-01-2018,24:00,53,V,0,V,1023,V
28-01-2018,24:00,52,V,0,V,1014,V
29-01-2018,24:00,66,V,0.2,V,1015,V
30-01-2018,24:00,65,V,0,V,1015,V
31-01-2018,24:00,67,V,0.1,V,1015,V
01-02-2018,24:00,71,V,0.1,V,1013,V
02-02-2018,24:00,70,V,0,V,1015,V
03-02-2018,24:00,58,V,0,V,1020,V
04-02-2018,24:00,58,V,0,V,1020,V
05-02-2018,24:00,58,V,0,V,1018,V
06-02-2018,24:00,59,V,0,V,1020,V
07-02-2018,24:00,63,V,0.1,V,1017,V
08-02-2018,24:00,60,V,0,V,1019,V
09-02-2018,24:00,61,V,0,V,1027,V
10-02-2018,24:00,70,V,0,V,1026,V
11-02-2018,24:00,62,V,0,V,1025,V
12-02-2018,24:00,68,V,0,V,1025,V
13-02-2018,24:00,72,V,0,V,1023,V
14-02-2018,24:00,75,V,0,V,1023,V
15-02-2018,24:00,79,V,0,V,1023,V
16-02-2018,24:00,58,V,0,V,1023,V
17-02-2018,24:00,69,V,0,V,1023,V
18-02-2018,24:00,68,V,0,V,1019,V
19-02-2018,24:00,66,V,0,V,1016,V
20-02-2018,24:00,65,V,0,V,1013,V
21-02-2018,24:00,62,V,0,V,1010,V
22-02-2018,24:00,66,V,0,V,1005,V
23-02-2018,24:00,68,V,0,V,996,V
24-02-2018,24:00,70,V,0,V,997,V
25-02-2018,24:00,76,V,0,V,998,V
26-02-2018,24:00,61,V,0,V,1004,V
27-02-2018,24:00,60,V,0,V,1004,V
28-02-2018,24:00,68,V,0,V,997,V
01-03-2018,24:00,63,V,0,V,1004,V
02-03-2018,24:00,67,V,0,V,1007,V
03-03-2018,24:00,69,V,0,V,1005,V
04-03-2018,24:00,59,V,0,V,1011,V
05-03-2018,24:00,68,V,0,V,1013,V
06-03-2018,24:00,68,V,0,V,1015,V
07-03-2018,24:00,66,V,0,V,1015,V
08-03-2018,24:00,73,V,0,V,1016,V
09-03-2018,24:00,69,V,0,V,1015,V
10-03-2018,24:00,63,V,0,V,1017,V
11-03-2018,24:00,58,V,0,V,1022,V
12-03-2018,24:00,67,V,0,V,1023,V
13-03-2018,24:00,68,V,0,V,1023,V
14-03-2018,24:00,68,V,0,V,1019,V
15-03-2018,24:00,68,V,0,V,1013,V
16-03-2018,24:00,58,V,0,V,1017,V
17-03-2018,24:00,53,V,0,V,1021,V
18-03-2018,24:00,62,V,0,V,1020,V
19-03-2018,24:00,64,V,0,V,1022,V
20-03-2018,24:00,61,V,0,V,1021,V
21-03-2018,24:00,54,V,0,V,1026,V
22-03-2018,24:00,61,V,0,V,1029,V
23-03-2018,24:00,65,V,0,V,1028,V
24-03-2018,24:00,65,V,0,V,1023,V
25-03-2018,24:00,60,V,0,V,1021,V
26-03-2018,24:00,63,V,0,V,1021,V
27-03-2018,24:00,73,V,0,V,1020,V
28-03-2018,24:00,52,V,0,V,1017,V
29-03-2018,24:00,69,V,0,V,1014,V
30-03-2018,24:00,65,V,0,V,1018,V
31-03-2018,24:00,65,V,0,V,1016,V
01-04-2018,24:00,67,V,0,V,1010,V
02-04-2018,24:00,67,V,0,V,1008,V
03-04-2018,24:00,67,V,0,V,1012,V
04-04-2018,24:00,64,V,0,V,1016,V
05-04-2018,24:00,58,V,0,V,1014,V
06-04-2018,24:00,57,V,0,V,1012,V
07-04-2018,24:00,56,V,0,V,1015,V
08-04-2018,24:00,57,V,0,V,1019,V
09-04-2018,24:00,57,V,0,V,1021,V
10-04-2018,24:00,58,V,0,V,1022,V
11-04-2018,24:00,66,V,0,V,1019,V
12-04-2018,24:00,65,V,0,V,1017,V
13-04-2018,24:00,58,V,0,V,1019,V
14-04-2018,24:00,59,V,0,V,1022,V
15-04-2018,24:00,67,V,0,V,1021,V
16-04-2018,24:00,72,V,0,V,1019,V
17-04-2018,24:00,74,V,0,V,1016,V
18-04-2018,24:00,49,V,0,V,1014,V
19-04-2018,24:00,57,V,0,V,1012,V
20-04-2018,24:00,56,V,0,V,1009,V
21-04-2018,24:00,59,V,0,V,1008,V
22-04-2018,24:00,63,V,0,V,1009,V
23-04-2018,24:00,64,V,0,V,1011,V
24-04-2018,24:00,66,V,0,V,1017,V
25-04-2018,24:00,66,V,0,V,1020,V
26-04-2018,24:00,67,V,0,V,1017,V
27-04-2018,24:00,66,V,0,V,1016,V
28-04-2018,24:00,63,V,0,V,1018,V
29-04-2018,24:00,54,V,0,V,1020,V
30-04-2018,24:00,52,V,0,V,1019,V
01-05-2018,24:00,56,V,0,V,1021,V
02-05-2018,24:00,55,V,0,V,1019,V
03-05-2018,24:00,61,V,0,V,1015,V
04-05-2018,24:00,59,V,0,V,1013,V
05-05-2018,24:00,55,V,0,V,1012,V
06-05-2018,24:00,56,V,0,V,1013,V
07-05-2018,24:00,59,V,0,V,1016,V
08-05-2018,24:00,66,V,0,V,1017,V
09-05-2018,24:00,65,V,0,V,1017,V
10-05-2018,24:00,61,V,0,V,1017,V
11-05-2018,24:00,61,V,0,V,1018,V
12-05-2018,24:00,67,V,0,V,1019,V
13-05-2018,24:00,66,V,0,V,1017,V
14-05-2018,24:00,65,V,0,V,1014,V
15-05-2018,24:00,64,V,0,V,1012,V
16-05-2018,24:00,63,V,0,V,1011,V
17-05-2018,24:00,60,V,0,V,1013,V
18-05-2018,24:00,60,V,0,V,1014,V
19-05-2018,24:00,61,V,0,V,1015,V
20-05-2018,24:00,58,V,0,V,1013,V
21-05-2018,24:00,61,V,0,V,1013,V
22-05-2018,24:00,,N,,N,,N
23-05-2018,24:00,58,V,0,V,1015,V
24-05-2018,24:00,59,V,0,V,1016,V
25-05-2018,24:00,,N,,N,,N
26-05-2018,24:00,59,V,0,V,1015,V
27-05-2018,24:00,56,V,0,V,1019,V
28-05-2018,24:00,61,V,0,V,1019,V
29-05-2018,24:00,62,V,0,V,1019,V
30-05-2018,24:00,66,V,0,V,1018,V
31-05-2018,24:00,66,V,0,V,1019,V
01-06-2018,24:00,64,V,0,V,1020,V
02-06-2018,24:00,62,V,0,V,1020,V
03-06-2018,24:00,64,V,0,V,1020,V
04-06-2018,24:00,67,V,0,V,1019,V
05-06-2018,24:00,67,V,0,V,1018,V
06-06-2018,24:00,68,V,0,V,1020,V
07-06-2018,24:00,68,V,0,V,1021,V
08-06-2018,24:00,,N,,N,,N
09-06-2018,24:00,61,V,0,V,1009,V
10-06-2018,24:00,60,V,0,V,1006,V
11-06-2018,24:00,62,V,0,V,1010,V
12-06-2018,24:00,67,V,0,V,1009,V
13-06-2018,24:00,64,V,0,V,1009,V
14-06-2018,24:00,59,V,0,V,1007,V
15-06-2018,24:00,,N,,N,,N
16-06-2018,24:00,67,V,0,V,1007,V
17-06-2018,24:00,64,V,0,V,1007,V
18-06-2018,24:00,66,V,0,V,1006,V
19-06-2018,24:00,64,V,0,V,1007,V
20-06-2018,24:00,61,V,0,V,1013,V
21-06-2018,24:00,,N,,N,,N
22-06-2018,24:00,65,V,0,V,1011,V
23-06-2018,24:00,63,V,0,V,1005,V
24-06-2018,24:00,67,V,0,V,1005,V
25-06-2018,24:00,70,V,0,V,1006,V
26-06-2018,24:00,,D,0,V,1007,V
27-06-2018,24:00,69,V,0,V,1007,V
28-06-2018,24:00,65,V,0,V,1006,V
29-06-2018,24:00,,N,,N,,N
30-06-2018,24:00,64,V,0,V,1002,V
01-07-2018,24:00,69,V,0,V,1004,V
02-07-2018,24:00,70,V,0,V,1006,V
03-07-2018,24:00,,N,,N,,N
04-07-2018,24:00,70,V,0,V,1008,V
05-07-2018,24:00,70,V,0,V,1009,V
06-07-2018,24:00,70,V,0,V,1007,V
07-07-2018,24:00,71,V,0,V,1006,V
08-07-2018,24:00,72,V,0,V,1006,V
09-07-2018,24:00,70,V,0,V,1007,V
10-07-2018,24:00,54,V,0,V,1006,V
11-07-2018,24:00,71,V,0,V,1007,V
12-07-2018,24:00,67,V,0,V,1007,V
13-07-2018,24:00,68,V,0,V,1007,V
14-07-2018,24:00,70,V,0,V,1008,V
15-07-2018,24:00,69,V,0,V,1008,V
16-07-2018,24:00,66,V,0,V,1007,V
17-07-2018,24:00,66,V,0,V,1005,V
18-07-2018,24:00,71,V,0,V,1005,V
19-07-2018,24:00,70,V,0,V,1005,V
20-07-2018,24:00,67,V,0,V,1008,V
21-07-2018,24:00,65,V,0,V,1007,V
22-07-2018,24:00,,N,,N,,N
23-07-2018,24:00,70,V,0,V,1005,V
24-07-2018,24:00,68,V,0,V,1006,V
25-07-2018,24:00,70,V,0,V,1006,V
26-07-2018,24:00,68,V,0,V,1005,V
27-07-2018,24:00,,N,,N,,N
28-07-2018,24:00,73,V,0,V,1006,V
29-07-2018,24:00,74,V,0,V,1008,V
30-07-2018,24:00,73,V,0,V,1008,V
31-07-2018,24:00,68,V,0,V,1005,V
01-08-2018,24:00,66,V,0,V,1003,V
02-08-2018,24:00,66,V,0,V,1003,V
03-08-2018,24:00,,N,,N,,N
04-08-2018,24:00,73,V,0,V,1005,V
05-08-2018,24:00,65,V,0,V,1003,V
06-08-2018,24:00,61,V,0,V,1003,V
07-08-2018,24:00,74,V,0,V,1003,V
08-08-2018,24:00,71,V,0,V,1005,V
09-08-2018,24:00,69,V,0,V,1007,V
10-08-2018,24:00,,N,,N,,N
11-08-2018,24:00,68,V,0,V,1005,V
12-08-2018,24:00,70,V,0,V,1004,V
13-08-2018,24:00,75,V,0,V,1004,V
14-08-2018,24:00,,N,,N,,N
15-08-2018,24:00,73,V,0,V,1007,V
16-08-2018,24:00,67,V,0,V,1008,V
17-08-2018,24:00,66,V,0,V,1006,V
18-08-2018,24:00,64,V,0,V,1004,V
19-08-2018,24:00,67,V,0,V,1004,V
20-08-2018,24:00,65,V,0,V,1005,V
21-08-2018,24:00,68,V,0,V,1004,V
22-08-2018,24:00,72,V,0,V,1003,V
23-08-2018,24:00,75,V,0,V,1004,V
24-08-2018,24:00,60,V,0,V,1006,V
25-08-2018,24:00,43,V,0,V,1004,V
26-08-2018,24:00,63,V,0,V,1002,V
27-08-2018,24:00,65,V,0,V,1003,V
28-08-2018,24:00,68,V,0,V,1005,V
29-08-2018,24:00,71,V,0,V,1006,V
30-08-2018,24:00,68,V,0,V,1004,V
31-08-2018,24:00,,N,,N,,N
01-09-2018,24:00,65,V,0,V,1003,V
02-09-2018,24:00,65,V,0,V,1004,V
03-09-2018,24:00,67,V,0,V,1004,V
04-09-2018,24:00,68,V,0,V,1004,V
05-09-2018,24:00,72,V,0,V,1004,V
06-09-2018,24:00,75,V,0,V,1004,V
07-09-2018,24:00,68,V,0,V,1004,V
08-09-2018,24:00,65,V,0,V,1005,V
09-09-2018,24:00,67,V,0,V,1006,V
10-09-2018,24:00,69,V,0,V,1006,V
11-09-2018,24:00,69,V,0,V,1005,V
12-09-2018,24:00,74,V,0,V,1006,V
13-09-2018,24:00,66,V,0,V,1007,V
14-09-2018,24:00,67,V,0,V,1006,V
15-09-2018,24:00,66,V,0,V,1006,V
16-09-2018,24:00,,N,,N,,N
17-09-2018,24:00,,N,,N,,N
18-09-2018,24:00,,N,,N,,N
19-09-2018,24:00,73,V,0,V,1006,V
20-09-2018,24:00,74,V,0,V,1007,V
21-09-2018,24:00,66,V,0,V,1006,V
22-09-2018,24:00,73,V,0,V,1005,V
23-09-2018,24:00,68,V,0,V,1005,V
24-09-2018,24:00,71,V,0,V,1005,V
25-09-2018,24:00,73,V,0,V,1006,V
26-09-2018,24:00,71,V,0,V,1006,V
27-09-2018,24:00,69,V,0,V,1007,V
28-09-2018,24:00,71,V,0,V,1004,V
29-09-2018,24:00,71,V,0,V,1003,V
30-09-2018,24:00,75,V,0,V,1003,V
01-10-2018,24:00,72,V,0,V,1004,V
02-10-2018,24:00,75,V,0,V,1005,V
03-10-2018,24:00,69,V,0,V,1005,V
04-10-2018,24:00,68,V,0,V,1004,V
05-10-2018,24:00,,N,,N,,N
06-10-2018,24:00,70,V,0,V,1004,V
07-10-2018,24:00,74,V,0,V,1005,V
08-10-2018,24:00,68,V,0,V,1002,V
09-10-2018,24:00,68,V,0,V,1000,V
10-10-2018,24:00,69,V,0,V,1000,V
11-10-2018,24:00,68,V,0,V,1005,V
12-10-2018,24:00,70,V,0,V,1006,V
13-10-2018,24:00,68,V,0,V,1004,V
14-10-2018,24:00,74,V,0,V,1004,V
15-10-2018,24:00,66,V,0,V,1005,V
16-10-2018,24:00,61,V,0,V,1006,V
17-10-2018,24:00,59,V,0,V,1006,V
18-10-2018,24:00,59,V,0,V,1004,V
19-10-2018,24:00,,N,,N,,N
20-10-2018,24:00,,N,,N,,N
21-10-2018,24:00,,N,,N,,N
22-10-2018,24:00,,N,,N,,N
23-10-2018,24:00,,N,,N,,N
24-10-2018,24:00,,N,,N,,N
25-10-2018,24:00,,N,,N,,N
26-10-2018,24:00,,N,,N,,N
27-10-2018,24:00,,N,,N,,N
28-10-2018,24:00,65,V,0,V,1011,V
29-10-2018,24:00,62,V,0,V,1006,V
30-10-2018,24:00,66,V,0,V,1004,V
31-10-2018,24:00,,N,,N,,N
01-11-2018,24:00,66,V,0,V,1007,V
02-11-2018,24:00,,N,,N,,N
03-11-2018,24:00,68,V,0,V,1006,V
04-11-2018,24:00,64,V,0,V,1005,V
05-11-2018,24:00,61,V,0,V,1004,V
06-11-2018,24:00,60,V,0,V,1005,V
07-11-2018,24:00,55,V,0,V,1006,V
08-11-2018,24:00,55,V,0,V,1008,V
09-11-2018,24:00,,N,,N,,N
10-11-2018,24:00,63,V,0,V,1007,V
11-11-2018,24:00,66,V,0,V,1005,V
12-11-2018,24:00,71,V,0,V,1004,V
13-11-2018,24:00,59,V,0,V,1005,V
14-11-2018,24:00,63,V,0,V,1004,V
15-11-2018,24:00,67,V,0,V,1002,V
16-11-2018,24:00,,N,,N,,N
17-11-2018,24:00,68,V,0,V,1000,V
18-11-2018,24:00,62,V,0,V,1001,V
19-11-2018,24:00,66,V,0,V,1001,V
20-11-2018,24:00,65,V,0,V,1004,V
21-11-2018,24:00,68,V,0,V,1005,V
22-11-2018,24:00,71,V,0.2,V,1002,V
23-11-2018,24:00,,N,,N,,N
24-11-2018,24:00,61,V,0,V,1007,V
25-11-2018,24:00,72,V,0,V,1008,V
26-11-2018,24:00,76,V,0,V,1007,V
27-11-2018,24:00,70,V,0,V,1007,V
28-11-2018,24:00,70,V,0,V,1007,V
29-11-2018,24:00,68,V,0,V,1008,V
30-11-2018,24:00,,N,,N,,N
01-12-2018,24:00,71,V,0,V,1009,V
02-12-2018,24:00,68,V,0,V,1009,V
03-12-2018,24:00,72,V,0,V,1007,V
04-12-2018,24:00,60,V,0,V,1006,V
05-12-2018,24:00,,N,,N,,N
06-12-2018,24:00,63,V,0,V,1009,V
