Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario RS (W/m²),Flag
01-01-2018,24:00,17,V,22,V,4.1,V,19.1,V,141,V
02-01-2018,24:00,21,V,20,V,3.3,V,19.2,V,152,V
03-01-2018,24:00,20,V,19,V,2.7,V,18.8,V,158,V
04-01-2018,24:00,19,V,19,V,2.4,V,18.7,V,133,V
05-01-2018,24:00,12,V,18,V,1.8,V,18.5,V,154,V
06-01-2018,24:00,9,V,6,V,3.9,V,18,V,121,V
07-01-2018,24:00,9,V,7,V,4,V,17.3,V,139,V
08-01-2018,24:00,8,V,7,V,2.9,V,17.6,V,132,V
09-01-2018,24:00,9,V,159,V,1.9,V,18.4,V,126,V
10-01-2018,24:00,9,V,18,V,2.2,V,19.4,V,87,V
11-01-2018,24:00,10,V,19,V,3.7,V,18.3,V,159,V
12-01-2018,24:00,14,V,16,V,2.9,V,18,V,135,V
13-01-2018,24:00,11,V,16,V,3,V,17.6,V,112,V
14-01-2018,24:00,9,V,16,V,3.6,V,17.4,V,96,V
15-01-2018,24:00,10,V,16,V,5.5,V,17,V,144,V
16-01-2018,24:00,17,V,16,V,5.9,V,17.4,V,153,V
17-01-2018,24:00,15,V,16,V,3.6,V,18,V,140,V
18-01-2018,24:00,10,V,17,V,3.9,V,17.8,V,90,V
19-01-2018,24:00,17,V,16,V,3.9,V,18.5,V,132,V
20-01-2018,24:00,17,V,16,V,3.5,V,18,V,110,V
21-01-2018,24:00,24,V,18,V,1.9,V,18,V,163,V
22-01-2018,24:00,20,V,16,V,2.4,V,17.7,V,167,V
23-01-2018,24:00,16,V,16,V,2.9,V,17.6,V,124,V
24-01-2018,24:00,13,V,16,V,3,V,17.3,V,131,V
25-01-2018,24:00,12,V,15,V,3.6,V,17.2,V,115,V
26-01-2018,24:00,13,V,15,V,4.7,V,17.2,V,85,V
27-01-2018,24:00,19,V,11,V,6.1,V,16.6,V,128,V
28-01-2018,24:00,10,V,11,V,4.7,V,16,V,152,V
29-01-2018,24:00,10,V,16,V,1.9,V,13.8,V,68,V
30-01-2018,24:00,10,V,17,V,2.3,V,14.4,V,124,V
31-01-2018,24:00,18,V,294,V,2.4,V,15.7,V,129,V
01-02-2018,24:00,15,V,19,V,3.7,V,15.3,V,117,V
02-02-2018,24:00,11,V,18,V,3.8,V,15.8,V,123,V
03-02-2018,24:00,11,V,17,V,4.8,V,16,V,135,V
04-02-2018,24:00,10,V,17,V,3.6,V,16.6,V,152,V
05-02-2018,24:00,8,V,18,V,3.8,V,16.3,V,177,V
06-02-2018,24:00,9,V,17,V,3.6,V,15.7,V,147,V
07-02-2018,24:00,11,V,18,V,3.7,V,14.9,V,125,V
08-02-2018,24:00,8,V,46,V,3.1,V,13.9,V,154,V
09-02-2018,24:00,9,V,17,V,4.6,V,15.7,V,165,V
10-02-2018,24:00,10,V,18,V,3.4,V,16.8,V,118,V
11-02-2018,24:00,12,V,15,V,4.1,V,16.7,V,171,V
12-02-2018,24:00,17,V,16,V,2.2,V,16.9,V,122,V
13-02-2018,24:00,18,V,158,V,1.4,V,17.1,V,179,V
14-02-2018,24:00,21,V,17,V,2.3,V,17,V,206,V
15-02-2018,24:00,16,V,18,V,2.3,V,16.8,V,80,V
16-02-2018,24:00,12,V,17,V,2.1,V,18.9,V,172,V
17-02-2018,24:00,16,V,20,V,2.9,V,17,V,210,V
18-02-2018,24:00,11,V,17,V,2.9,V,16.4,V,214,V
19-02-2018,24:00,11,V,16,V,3.4,V,16.7,V,214,V
20-02-2018,24:00,10,V,17,V,3.1,V,16.8,V,151,V
21-02-2018,24:00,12,V,17,V,3.1,V,17.2,V,144,V
22-02-2018,24:00,11,V,15,V,2,V,16.5,V,109,V
23-02-2018,24:00,12,V,180,V,3.2,V,16.1,V,146,V
24-02-2018,24:00,10,V,181,V,2.5,V,17.7,V,123,V
25-02-2018,24:00,11,V,181,V,4.4,V,18.4,V,127,V
26-02-2018,24:00,8,V,293,V,2.7,V,18.8,V,192,V
27-02-2018,24:00,6,V,181,V,3.9,V,18.8,V,165,V
28-02-2018,24:00,12,V,181,V,4.4,V,20.1,V,201,V
01-03-2018,24:00,17,V,226,V,2.6,V,21.1,V,197,V
02-03-2018,24:00,12,V,180,V,2.8,V,20.9,V,176,V
03-03-2018,24:00,8,V,181,V,2.9,V,20,V,152,V
04-03-2018,24:00,12,V,293,V,2.4,V,20.7,V,239,V
05-03-2018,24:00,11,V,294,V,3.7,V,20.4,V,234,V
06-03-2018,24:00,9,V,294,V,2.3,V,20.5,V,150,V
