Fecha,Hora,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag
01-01-2018,24:00,0.3,V,75,V,33,V,0.2,V,0.3,V
02-01-2018,24:00,0.4,V,71,V,39,V,0.2,V,0.4,V
03-01-2018,24:00,0.5,V,68,V,48,V,0.2,V,0.4,V
04-01-2018,24:00,0.5,V,64,V,43,V,0.2,V,0.4,V
05-01-2018,24:00,0.3,V,56,V,26,V,0.2,V,0.3,V
06-01-2018,24:00,0.4,V,77,V,20,V,0.2,V,0.3,V
07-01-2018,24:00,0.4,V,78,V,23,V,0.2,V,0.2,V
08-01-2018,24:00,0.5,V,68,V,23,V,0.2,V,0.4,V
09-01-2018,24:00,0.6,V,60,V,23,V,0.2,V,0.7,V
10-01-2018,24:00,0.3,V,44,V,13,V,0.2,V,0.3,V
11-01-2018,24:00,0.4,V,69,V,20,V,0.2,V,0.2,V
12-01-2018,24:00,0.4,V,80,V,29,V,0.2,V,0.4,V
13-01-2018,24:00,0.3,V,83,V,20,V,0.2,V,0.2,V
14-01-2018,24:00,0.4,V,78,V,16,V,0.2,V,0.2,V
15-01-2018,24:00,0.4,V,81,V,20,V,0.2,V,0.2,V
16-01-2018,24:00,0.4,V,82,V,44,V,0.2,V,0.4,V
17-01-2018,24:00,0.4,V,73,V,39,V,0.2,V,0.3,V
18-01-2018,24:00,0.4,V,73,V,26,V,0.2,V,0.2,V
19-01-2018,24:00,0.4,V,80,V,36,V,0.2,V,0.3,V
20-01-2018,24:00,0.4,V,76,V,38,V,0.2,V,0.2,V
21-01-2018,24:00,0.5,V,74,V,44,V,0.2,V,0.3,V
22-01-2018,24:00,0.5,V,80,V,36,V,0.2,V,0.3,V
23-01-2018,24:00,0.4,V,75,V,31,V,0.2,V,0.4,V
24-01-2018,24:00,0.3,V,70,V,24,V,0.2,V,0.3,V
25-01-2018,24:00,,N,,N,25,V,,N,,N
26-01-2018,24:00,0.4,V,76,V,30,V,0.2,V,0.3,V
27-01-2018,24:00,0.5,V,85,V,48,V,0.2,V,0.3,V
28-01-2018,24:00,0.5,V,84,V,31,V,0.2,V,0.2,V
29-01-2018,24:00,0.6,V,70,V,17,V,0.2,V,0.5,V
30-01-2018,24:00,0.6,V,72,V,19,V,0.2,V,0.4,V
31-01-2018,24:00,0.6,V,70,V,41,V,0.2,V,0.4,V
01-02-2018,24:00,0.4,V,80,V,33,V,0.2,V,0.3,V
02-02-2018,24:00,0.4,V,76,V,30,V,0.2,V,0.2,V
03-02-2018,24:00,0.4,V,85,V,28,V,0.2,V,0.2,V
04-02-2018,24:00,0.4,V,83,V,21,V,0.2,V,0.2,V
05-02-2018,24:00,0.5,V,83,V,22,V,0.2,V,0.4,V
06-02-2018,24:00,0.5,V,78,V,22,V,0.2,V,0.2,V
07-02-2018,24:00,0.5,V,80,V,21,V,0.2,V,0.3,V
08-02-2018,24:00,0.9,V,80,V,20,V,0.2,V,0.2,V
09-02-2018,24:00,0.5,V,83,V,23,V,0.2,V,0.2,V
10-02-2018,24:00,0.4,V,71,V,19,V,0.2,V,0.2,V
11-02-2018,24:00,0.4,V,85,V,33,V,0.2,V,0.2,V
12-02-2018,24:00,0.6,V,85,V,37,V,0.2,V,0.4,V
13-02-2018,24:00,0.6,V,72,V,35,V,0.2,V,0.4,V
14-02-2018,24:00,0.5,V,74,V,36,V,0.2,V,0.4,V
15-02-2018,24:00,0.5,V,77,V,36,V,0.2,V,0.5,V
16-02-2018,24:00,0.6,V,57,V,30,V,0.2,V,0.6,V
17-02-2018,24:00,0.4,V,77,V,34,V,0.2,V,0.3,V
18-02-2018,24:00,0.3,V,73,V,28,V,0.2,V,0.2,V
19-02-2018,24:00,0.3,V,73,V,25,V,0.2,V,0.2,V
20-02-2018,24:00,0.4,V,84,V,25,V,0.2,V,0.2,V
21-02-2018,24:00,,N,,N,23,V,,N,,N
22-02-2018,24:00,0.5,V,77,V,24,V,0.2,V,0.4,V
23-02-2018,24:00,0.7,V,68,V,23,V,0.2,V,0.5,V
24-02-2018,24:00,0.5,V,67,V,16,V,0.2,V,0.5,V
25-02-2018,24:00,0.3,V,78,V,26,V,0.2,V,0.3,V
26-02-2018,24:00,0.5,V,87,V,23,V,0.2,V,0.4,V
27-02-2018,24:00,0.4,V,85,V,22,V,0.2,V,0.5,V
28-02-2018,24:00,0.2,V,80,V,20,V,0.2,V,0.2,V
01-03-2018,24:00,,N,76,V,43,V,,N,,N
02-03-2018,24:00,,N,65,V,33,V,,N,,N
03-03-2018,24:00,,N,68,V,18,V,,N,,N
04-03-2018,24:00,,N,88,V,30,V,,N,,N
05-03-2018,24:00,,N,74,V,29,V,,N,,N
06-03-2018,24:00,,N,57,V,17,V,,N,,N
07-03-2018,24:00,,N,,N,16,V,,N,,N
08-03-2018,24:00,,N,44,V,23,V,,N,,N
09-03-2018,24:00,,N,39,V,25,V,,N,,N
10-03-2018,24:00,,N,62,V,21,V,,N,,N
11-03-2018,24:00,,N,84,V,25,V,,N,,N
12-03-2018,24:00,,N,79,V,32,V,,N,,N
13-03-2018,24:00,,N,63,V,19,V,,N,,N
14-03-2018,24:00,,N,56,V,18,V,,N,,N
15-03-2018,24:00,,N,68,V,18,V,,N,,N
16-03-2018,24:00,,N,83,V,16,V,,N,,N
17-03-2018,24:00,,N,84,V,14,V,,N,,N
18-03-2018,24:00,,N,65,V,14,V,,N,,N
19-03-2018,24:00,,N,70,V,26,V,,N,,N
20-03-2018,24:00,,N,74,V,28,V,,N,,N
21-03-2018,24:00,,N,99,V,36,V,,N,,N
