Fecha,Hora,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag
01-01-2018,24:00,4,V,7,V,11,V,3,V,0.2,V
02-01-2018,24:00,4,V,10,V,15,V,4,V,0.2,V
03-01-2018,24:00,4,V,12,V,17,V,4,V,0.2,V
04-01-2018,24:00,4,V,11,V,16,V,4,V,0.2,V
05-01-2018,24:00,5,V,15,V,23,V,6,V,0.1,V
06-01-2018,24:00,5,V,7,V,11,V,3,V,0.2,V
07-01-2018,24:00,5,V,6,V,10,V,3,V,0.1,V
08-01-2018,24:00,5,V,15,V,20,V,4,V,0.2,V
09-01-2018,24:00,5,V,17,V,25,V,5,V,0.2,V
10-01-2018,24:00,4,V,13,V,21,V,5,V,0.2,V
11-01-2018,24:00,6,V,11,V,16,V,4,V,0.2,V
12-01-2018,24:00,4,V,10,V,15,V,3,V,0.2,V
13-01-2018,24:00,4,V,7,V,12,V,3,V,0.2,V
14-01-2018,24:00,4,V,7,V,12,V,3,V,0.2,V
15-01-2018,24:00,4,V,8,V,13,V,4,V,0.2,V
16-01-2018,24:00,4,V,8,V,14,V,4,V,0.2,V
17-01-2018,24:00,4,V,10,V,16,V,4,V,0.2,V
18-01-2018,24:00,4,V,9,V,15,V,4,V,0.2,V
19-01-2018,24:00,4,V,9,V,15,V,4,V,0.2,V
20-01-2018,24:00,5,V,13,V,19,V,4,V,0.2,V
21-01-2018,24:00,4,V,13,V,19,V,4,V,0.2,V
22-01-2018,24:00,5,V,11,V,17,V,4,V,0.2,V
23-01-2018,24:00,5,V,8,V,14,V,4,V,0.2,V
24-01-2018,24:00,5,V,9,V,14,V,4,V,0.2,V
25-01-2018,24:00,,N,,N,,N,,N,,N
26-01-2018,24:00,5,V,4,V,7,V,2,V,0.2,V
27-01-2018,24:00,5,V,3,V,5,V,2,V,0.2,V
28-01-2018,24:00,5,V,3,V,5,V,2,V,0.2,V
29-01-2018,24:00,5,V,5,V,7,V,2,V,0.3,V
30-01-2018,24:00,5,V,4,V,7,V,2,V,0.2,V
31-01-2018,24:00,5,V,4,V,7,V,2,V,0.3,V
01-02-2018,24:00,5,V,3,V,6,V,2,V,0.2,V
02-02-2018,24:00,5,V,3,V,6,V,2,V,0.2,V
03-02-2018,24:00,5,V,2,V,5,V,2,V,0.2,V
04-02-2018,24:00,5,V,2,V,5,V,2,V,0.2,V
05-02-2018,24:00,5,V,3,V,6,V,2,V,0.2,V
06-02-2018,24:00,5,V,3,V,5,V,2,V,0.2,V
07-02-2018,24:00,5,V,3,V,5,V,2,V,0.3,V
08-02-2018,24:00,5,V,7,V,11,V,3,V,0.2,V
09-02-2018,24:00,5,V,10,V,17,V,4,V,0.2,V
10-02-2018,24:00,5,V,11,V,17,V,4,V,0.2,V
11-02-2018,24:00,5,V,8,V,14,V,4,V,0.2,V
12-02-2018,24:00,5,V,12,V,18,V,4,V,0.2,V
13-02-2018,24:00,5,V,17,V,24,V,5,V,0.2,V
14-02-2018,24:00,5,V,12,V,18,V,4,V,0.2,V
15-02-2018,24:00,5,V,16,V,23,V,5,V,0.2,V
16-02-2018,24:00,5,V,28,V,40,V,9,V,0.2,V
17-02-2018,24:00,5,V,13,V,19,V,4,V,0.2,V
18-02-2018,24:00,5,V,10,V,16,V,4,V,0.2,V
19-02-2018,24:00,5,V,10,V,17,V,4,V,0.2,V
20-02-2018,24:00,5,V,11,V,17,V,4,V,0.2,V
21-02-2018,24:00,,N,,N,,N,,N,,N
22-02-2018,24:00,5,V,15,V,19,V,3,V,0.3,V
23-02-2018,24:00,5,V,17,V,22,V,4,V,0.3,V
24-02-2018,24:00,8,V,18,V,30,V,8,V,0.3,V
25-02-2018,24:00,5,V,4,V,7,V,2,V,0.3,V
26-02-2018,24:00,5,V,11,V,13,V,2,V,0.3,V
27-02-2018,24:00,5,V,7,V,9,V,2,V,0.3,V
28-02-2018,24:00,5,V,6,V,8,V,2,V,0.3,V
01-03-2018,24:00,5,V,12,V,15,V,2,V,0.3,V
02-03-2018,24:00,5,V,10,V,13,V,2,V,0.3,V
03-03-2018,24:00,6,V,7,V,9,V,2,V,0.3,V
04-03-2018,24:00,5,V,6,V,8,V,2,V,0.3,V
05-03-2018,24:00,5,V,8,V,10,V,2,V,0.3,V
06-03-2018,24:00,5,V,9,V,11,V,2,V,0.3,V
07-03-2018,24:00,,N,,N,,N,,N,,N
08-03-2018,24:00,2,V,21,V,55,V,22,V,0.3,V
09-03-2018,24:00,1,V,19,V,31,V,8,V,0.3,V
10-03-2018,24:00,3,V,8,V,11,V,2,V,0.2,V
11-03-2018,24:00,1,V,6,V,7,V,1,V,0.2,V
12-03-2018,24:00,1,V,8,V,10,V,1,V,0.2,V
13-03-2018,24:00,1,V,11,V,15,V,3,V,0.2,V
14-03-2018,24:00,1,V,11,V,13,V,1,V,0.2,V
15-03-2018,24:00,1,V,9,V,10,V,1,V,0.2,V
16-03-2018,24:00,1,V,9,V,10,V,1,V,0.2,V
17-03-2018,24:00,1,V,8,V,9,V,1,V,0.2,V
18-03-2018,24:00,1,V,6,V,7,V,1,V,0.2,V
19-03-2018,24:00,1,V,7,V,8,V,1,V,0.2,V
20-03-2018,24:00,1,V,6,V,8,V,1,V,0.2,V
21-03-2018,24:00,1,V,7,V,8,V,1,V,0.2,V
22-03-2018,24:00,1,V,9,V,10,V,1,V,0.2,V
23-03-2018,24:00,1,V,9,V,10,V,1,V,0.2,V
24-03-2018,24:00,1,V,5,V,7,V,1,V,0.2,V
25-03-2018,24:00,1,V,4,V,6,V,1,V,0.2,V
26-03-2018,24:00,1,V,6,V,7,V,1,V,0.2,V
27-03-2018,24:00,1,V,7,V,9,V,1,V,0.2,V
28-03-2018,24:00,1,V,20,V,27,V,4,V,0.1,V
29-03-2018,24:00,1,V,11,V,13,V,1,V,0.2,V
30-03-2018,24:00,1,V,7,V,8,V,1,V,0.1,V
31-03-2018,24:00,1,V,6,V,8,V,1,V,0.2,V
01-04-2018,24:00,1,V,8,V,10,V,1,V,0.2,V
02-04-2018,24:00,1,V,15,V,17,V,2,V,0.1,V
03-04-2018,24:00,1,V,8,V,10,V,1,V,0.1,V
04-04-2018,24:00,1,V,7,V,9,V,1,V,0.1,V
05-04-2018,24:00,1,V,8,V,10,V,1,V,0.1,V
06-04-2018,24:00,1,V,9,V,12,V,2,V,0.1,V
07-04-2018,24:00,1,V,7,V,10,V,1,V,0.1,V
08-04-2018,24:00,1,V,1,V,3,V,1,V,0.1,V
09-04-2018,24:00,1,V,1,V,3,V,1,V,0.1,V
10-04-2018,24:00,1,V,1,V,3,V,1,V,0.1,V
